event_type,fields
EFIX,R 100703451 100705567 2117 530.1 16.9 3318
SSACC,R 100705568
ESACC,R 100705568 100705612 45 525.9 17.7 840.2 212.5 6.26 219
SFIX,R 100705613
EFIX,R 100705613 100706167 555 895.2 267.5 3079
SSACC,R 100706168
ESACC,R 100706168 100706192 25 900.0 266.0 868.3 150.8 2.05 111
SFIX,R 100706193
EFIX,R 100706193 100706574 382 859.2 107.2 3172
SSACC,R 100706575
ESACC,R 100706575 100706638 64 858.3 104.0 246.2 151.9 10.23 250
SFIX,R 100706639
EFIX,R 100706639 100706885 247 243.9 155.9 3707
SSACC,R 100706886
ESACC,R 100706886 100706937 52 249.0 151.9 -133.7 -66.4 7.05 232
SFIX,R 100706938
EFIX,R 100706938 100707972 1035 -124.8 -86.1 3860
SSACC,R 100707973
SBLINK,R 100708060
EBLINK,R 100708060 100708080 21
ESACC,R 100707973 100708159 187 -116.3 -85.8 97.5 140.5 5.01 229
SFIX,R 100708160
EFIX,R 100708160 100708244 85 92.3 137.5 4197
SSACC,R 100708245
ESACC,R 100708245 100708261 17 96.9 123.8 124.9 65.5 1.07 86
SFIX,R 100708262
EFIX,R 100708262 100708337 76 135.5 25.2 3726
SSACC,R 100708338
ESACC,R 100708338 100708345 8 137.5 15.2 140.9 -6.3 0.36 49
SFIX,R 100708346
EFIX,R 100708346 100708412 67 139.5 7.3 3612
SSACC,R 100708413
ESACC,R 100708413 100708439 27 132.6 26.2 96.1 120.7 1.68 91
SFIX,R 100708440
EFIX,R 100708440 100708960 521 52.0 212.3 4263
SSACC,R 100708961
ESACC,R 100708961 100708974 14 52.7 224.4 69.9 187.4 0.67 54
SFIX,R 100708975
EFIX,R 100708975 100708999 25 78.8 175.4 4197
SSACC,R 100709000
ESACC,R 100709000 100709014 15 86.5 159.6 97.6 104.4 0.93 67
SFIX,R 100709015
EFIX,R 100709015 100709061 47 117.4 52.4 3589
SSACC,R 100709062
ESACC,R 100709062 100709066 5 139.0 8.8 141.0 -3.6 0.21 72
SFIX,R 100709067
EFIX,R 100709067 100709507 441 127.3 -22.4 2827
SSACC,R 100709508
SBLINK,R 100709518
EBLINK,R 100709518 100709739 222
ESACC,R 100709508 100709748 241 139.0 8.8 141.0 -3.6 0.21 0
SFIX,R 100709749
EFIX,R 100709749 100709897 149 123.3 -95.0 3461
SSACC,R 100709898
ESACC,R 100709898 100709907 10 119.9 -89.8 119.6 -63.0 0.44 48
SFIX,R 100709908
EFIX,R 100709908 100710241 334 68.0 15.3 3767
SSACC,R 100710242
SBLINK,R 100710252
EBLINK,R 100710252 100710512 261
ESACC,R 100710242 100710521 280 119.9 -89.8 119.6 -63.0 0.44 0
SFIX,R 100710522
EFIX,R 100710522 100710550 29 94.7 -29.2 3421
SSACC,R 100710551
SBLINK,R 100710561
EBLINK,R 100710561 100710769 209
ESACC,R 100710551 100710778 228 119.9 -89.8 119.6 -63.0 0.44 0
SFIX,R 100710779
EFIX,R 100710779 100710809 31 374.9 66.1 3619
SSACC,R 100710810
SBLINK,R 100710823
EBLINK,R 100710823 100710970 148
ESACC,R 100710810 100710993 184 380.6 62.5 357.5 -1.3 1.14 82
SFIX,R 100710994
EFIX,R 100710994 100711031 38 325.1 -0.9 2702
SSACC,R 100711032
SBLINK,R 100711098
EBLINK,R 100711098 100713649 2552
ESACC,R 100711032 100713698 2667 300.0 29.4 410.6 132.1 2.52 136
SFIX,R 100713699
EFIX,R 100713699 100713921 223 402.8 119.9 4309
SSACC,R 100713922
ESACC,R 100713922 100713956 35 407.4 119.8 572.8 197.0 3.06 110
SFIX,R 100713957
EFIX,R 100713957 100714774 818 655.4 238.3 3767
SSACC,R 100714775
ESACC,R 100714775 100714786 12 655.3 235.0 684.3 211.7 0.63 67
SFIX,R 100714787
EFIX,R 100714787 100715746 960 699.1 211.6 3672
SSACC,R 100715747
ESACC,R 100715747 100715792 46 687.5 210.1 470.7 58.2 4.47 122
SFIX,R 100715793
EFIX,R 100715793 100716015 223 401.3 10.3 3825
SSACC,R 100716016
ESACC,R 100716016 100716033 18 395.5 -5.9 469.3 -6.5 1.23 106
SFIX,R 100716034
EFIX,R 100716034 100716609 576 466.8 -10.5 4176
SSACC,R 100716610
SBLINK,R 100716636
EBLINK,R 100716636 100716994 359
ESACC,R 100716610 100717036 427 471.0 -30.2 122.1 -0.7 5.72 642
SFIX,R 100717037
EFIX,R 100717037 100717919 883 122.4 14.4 3881
SSACC,R 100717920
ESACC,R 100717920 100717966 47 123.9 9.1 478.6 87.3 5.95 188
SFIX,R 100717967
EFIX,R 100717967 100718960 994 524.9 110.9 3692
SSACC,R 100718961
ESACC,R 100718961 100718985 25 522.4 111.5 420.6 195.2 2.21 147
SFIX,R 100718986
EFIX,R 100718986 100719426 441 415.4 198.8 3827
SSACC,R 100719427
ESACC,R 100719427 100719452 26 417.3 200.7 317.5 295.2 2.30 145
SFIX,R 100719453
EFIX,R 100719453 100719593 141 311.2 293.9 3905
SSACC,R 100719594
ESACC,R 100719594 100719608 15 311.5 291.2 339.5 241.7 0.95 82
SFIX,R 100719609
EFIX,R 100719609 100719988 380 350.6 227.7 3924
SSACC,R 100719989
ESACC,R 100719989 100720009 21 350.4 228.5 248.3 260.4 1.76 120
SFIX,R 100720010
EFIX,R 100720010 100720192 183 237.2 258.0 4015
SSACC,R 100720193
ESACC,R 100720193 100720205 13 240.3 253.2 262.5 226.4 0.58 53
SFIX,R 100720206
EFIX,R 100720206 100721084 879 271.3 214.3 4006
SSACC,R 100721085
SBLINK,R 100721103
EBLINK,R 100721103 100721208 106
ESACC,R 100721085 100721247 163 277.2 221.3 58.8 307.5 3.80 616
SFIX,R 100721248
EFIX,R 100721248 100721684 437 72.5 243.9 4515
SSACC,R 100721685
ESACC,R 100721685 100721721 37 102.8 155.3 -63.3 -81.5 4.70 217
SFIX,R 100721722
EFIX,R 100721722 100722193 472 -75.1 -132.7 3925
SSACC,R 100722194
ESACC,R 100722194 100722219 26 -79.6 -127.9 -13.6 -276.0 2.61 159
SFIX,R 100722220
EFIX,R 100722220 100723133 914 16.1 -343.4 3380
SSACC,R 100723134
ESACC,R 100723134 100723152 19 16.5 -339.2 92.0 -305.4 1.31 116
SFIX,R 100723153
EFIX,R 100723153 100723698 546 86.8 -298.6 3380
SSACC,R 100723699
ESACC,R 100723699 100723767 69 86.7 -298.8 490.9 143.2 9.85 234
SFIX,R 100723768
EFIX,R 100723768 100724139 372 487.4 136.0 3964
SSACC,R 100724140
ESACC,R 100724140 100724180 41 483.3 131.9 231.5 286.7 4.90 172
SFIX,R 100724181
EFIX,R 100724181 100724726 546 162.7 316.0 4120
SSACC,R 100724727
ESACC,R 100724727 100724771 45 192.5 178.0 329.2 163.9 2.25 118
SFIX,R 100724772
EFIX,R 100724772 100725023 252 380.2 99.7 4230
SSACC,R 100725024
ESACC,R 100725024 100725052 29 380.7 103.1 496.3 -97.4 3.89 374
SFIX,R 100725053
EFIX,R 100725053 100725078 26 470.7 -60.3 3484
SSACC,R 100725079
ESACC,R 100725079 100725098 20 454.8 -24.9 389.5 106.0 2.46 216
SFIX,R 100725099
EFIX,R 100725099 100725120 22 388.9 103.6 4124
SSACC,R 100725121
ESACC,R 100725121 100725159 39 387.5 109.0 610.8 195.7 4.01 217
SFIX,R 100725160
EFIX,R 100725160 100725276 117 615.1 197.3 4199
SSACC,R 100725277
ESACC,R 100725277 100725306 30 614.9 222.2 591.9 152.4 1.25 95
SFIX,R 100725307
EFIX,R 100725307 100725469 163 613.0 199.3 4239
SSACC,R 100725470
ESACC,R 100725470 100725485 16 612.2 201.5 572.2 250.5 1.07 86
SFIX,R 100725486
EFIX,R 100725486 100726000 515 566.8 258.9 4143
SSACC,R 100726001
ESACC,R 100726001 100726024 24 568.4 263.1 657.3 216.6 1.70 105
SFIX,R 100726025
EFIX,R 100726025 100727331 1307 695.2 202.5 3832
SSACC,R 100727332
ESACC,R 100727332 100727376 45 692.3 207.1 444.2 438.8 5.73 171
SFIX,R 100727377
EFIX,R 100727377 100727908 532 404.3 505.7 3828
SSACC,R 100727909
ESACC,R 100727909 100727950 42 399.0 509.7 621.5 218.6 6.17 234
SFIX,R 100727951
EFIX,R 100727951 100728449 499 653.7 184.7 3734
SSACC,R 100728450
ESACC,R 100728450 100728485 36 649.4 174.3 463.1 64.0 3.65 163
SFIX,R 100728486
EFIX,R 100728486 100729599 1114 452.7 50.7 4067
SSACC,R 100729600
ESACC,R 100729600 100729628 29 461.6 61.7 655.7 188.8 3.91 214
SFIX,R 100729629
EFIX,R 100729629 100729987 359 670.9 221.6 3683
SSACC,R 100729988
ESACC,R 100729988 100729995 8 666.0 223.0 658.4 208.9 0.27 37
SFIX,R 100729996
EFIX,R 100729996 100730842 847 655.3 205.8 3612
SSACC,R 100730843
ESACC,R 100730843 100730855 13 655.8 207.2 696.2 205.4 0.68 64
SFIX,R 100730856
EFIX,R 100730856 100731262 407 715.7 217.3 3577
SSACC,R 100731263
ESACC,R 100731263 100731286 24 714.6 212.8 636.9 227.7 1.34 82
SFIX,R 100731287
EFIX,R 100731287 100731390 104 641.5 226.8 3650
SSACC,R 100731391
ESACC,R 100731391 100731401 11 642.4 227.6 681.9 226.0 0.67 72
SFIX,R 100731402
EFIX,R 100731402 100731664 263 691.4 226.2 3549
SSACC,R 100731665
ESACC,R 100731665 100731707 43 690.6 228.4 484.8 219.9 3.47 132
SFIX,R 100731708
EFIX,R 100731708 100731909 202 441.1 214.3 3666
SSACC,R 100731910
ESACC,R 100731910 100731938 29 440.3 214.8 651.4 225.8 3.54 212
SFIX,R 100731939
EFIX,R 100731939 100732148 210 658.2 226.7 3581
SSACC,R 100732149
SBLINK,R 100732194
EBLINK,R 100732194 100732306 113
ESACC,R 100732149 100732351 203 660.7 223.7 700.6 302.3 1.50 638
SFIX,R 100732352
EFIX,R 100732352 100733160 809 710.9 197.3 3480
SSACC,R 100733161
ESACC,R 100733161 100733187 27 706.5 198.8 552.4 105.9 3.05 199
SFIX,R 100733188
EFIX,R 100733188 100734233 1046 544.7 95.0 3753
SSACC,R 100734234
ESACC,R 100734234 100734288 55 548.2 93.2 236.5 -181.1 6.90 170
SFIX,R 100734289
EFIX,R 100734289 100734749 461 186.5 -222.5 3303
INPUT,100734751 127
END,100734751 SAMPLES EVENTS RES 253.45 252.14
