Time,Gaze_Target_X,Gaze_Target_Y
2.198445,-999.000000,-999.000000
2.205922,-999.000000,-999.000000
2.231878,-999.000000,-999.000000
2.254140,-999.000000,-999.000000
2.263721,-999.000000,-999.000000
2.285523,-999.000000,-999.000000
2.303824,-999.000000,-999.000000
2.323781,-999.000000,-999.000000
2.354928,-999.000000,-999.000000
2.365320,-999.000000,-999.000000
2.385490,-999.000000,-999.000000
2.404203,-999.000000,-999.000000
2.423737,-999.000000,-999.000000
2.454125,-999.000000,-999.000000
2.464769,-999.000000,-999.000000
2.491517,-999.000000,-999.000000
2.504736,-999.000000,-999.000000
2.531199,-999.000000,-999.000000
2.544794,-999.000000,-999.000000
2.565360,-999.000000,-999.000000
2.585417,-999.000000,-999.000000
2.606322,-999.000000,-999.000000
2.624248,-999.000000,-999.000000
2.654671,-999.000000,-999.000000
2.663773,-999.000000,-999.000000
2.684515,-999.000000,-999.000000
2.714456,-999.000000,-999.000000
2.724488,-999.000000,-999.000000
2.744170,-999.000000,-999.000000
2.764273,-999.000000,-999.000000
2.794391,-999.000000,-999.000000
2.803740,-999.000000,-999.000000
2.825303,-999.000000,-999.000000
2.855613,-999.000000,-999.000000
2.864842,-999.000000,-999.000000
2.884098,-999.000000,-999.000000
2.903000,-999.000000,-999.000000
2.926881,-999.000000,-999.000000
2.945938,-999.000000,-999.000000
2.964071,-999.000000,-999.000000
2.992298,-999.000000,-999.000000
3.012882,-999.000000,-999.000000
3.031067,-999.000000,-999.000000
3.044596,-999.000000,-999.000000
3.070966,-999.000000,-999.000000
3.093603,-999.000000,-999.000000
3.104239,-999.000000,-999.000000
3.132433,-999.000000,-999.000000
3.144848,-999.000000,-999.000000
3.174368,-999.000000,-999.000000
3.184630,-999.000000,-999.000000
3.204839,-999.000000,-999.000000
3.234522,-999.000000,-999.000000
3.244394,-999.000000,-999.000000
3.271686,-999.000000,-999.000000
3.291589,-999.000000,-999.000000
3.306243,-999.000000,-999.000000
3.324761,-999.000000,-999.000000
3.342557,-999.000000,-999.000000
3.371664,-999.000000,-999.000000
3.386629,-999.000000,-999.000000
3.405071,-999.000000,-999.000000
3.433866,-999.000000,-999.000000
3.452687,-999.000000,-999.000000
3.474009,-999.000000,-999.000000
3.492731,-999.000000,-999.000000
3.511087,-999.000000,-999.000000
3.523895,-999.000000,-999.000000
3.544960,-999.000000,-999.000000
3.572203,-999.000000,-999.000000
3.596238,-999.000000,-999.000000
3.604859,-999.000000,-999.000000
3.632714,-999.000000,-999.000000
3.655572,-999.000000,-999.000000
3.674789,-999.000000,-999.000000
3.684239,-999.000000,-999.000000
3.711487,-999.000000,-999.000000
3.734310,-999.000000,-999.000000
3.751248,-999.000000,-999.000000
3.775777,-999.000000,-999.000000
3.784555,-999.000000,-999.000000
3.811941,-999.000000,-999.000000
3.831265,-999.000000,-999.000000
3.843942,-999.000000,-999.000000
3.873103,-999.000000,-999.000000
3.882727,-999.000000,-999.000000
3.903223,-999.000000,-999.000000
3.924526,-999.000000,-999.000000
3.953454,-999.000000,-999.000000
3.973382,-999.000000,-999.000000
3.991478,-999.000000,-999.000000
4.003077,-999.000000,-999.000000
4.031424,-999.000000,-999.000000
4.042629,-999.000000,-999.000000
4.071134,-999.000000,-999.000000
4.085007,-999.000000,-999.000000
4.105912,-999.000000,-999.000000
4.123886,-999.000000,-999.000000
4.152074,-999.000000,-999.000000
4.163347,-999.000000,-999.000000
4.191921,-999.000000,-999.000000
4.204826,-999.000000,-999.000000
4.234627,-999.000000,-999.000000
4.245690,-999.000000,-999.000000
4.264381,-999.000000,-999.000000
4.291080,-999.000000,-999.000000
4.304880,-999.000000,-999.000000
4.323578,-999.000000,-999.000000
4.346435,-999.000000,-999.000000
4.374167,-999.000000,-999.000000
4.384172,-999.000000,-999.000000
4.404186,-999.000000,-999.000000
4.431084,-999.000000,-999.000000
4.446221,-999.000000,-999.000000
4.465396,-999.000000,-999.000000
4.494911,-999.000000,-999.000000
4.504445,-999.000000,-999.000000
4.522881,-999.000000,-999.000000
4.556535,-999.000000,-999.000000
4.571635,-999.000000,-999.000000
4.592551,-999.000000,-999.000000
4.603875,-999.000000,-999.000000
4.631285,-999.000000,-999.000000
4.650896,-999.000000,-999.000000
4.674669,-999.000000,-999.000000
4.684338,-999.000000,-999.000000
4.703283,-999.000000,-999.000000
4.724727,-999.000000,-999.000000
4.743716,-999.000000,-999.000000
4.771560,-999.000000,-999.000000
4.793764,-999.000000,-999.000000
4.812229,-999.000000,-999.000000
4.826462,-999.000000,-999.000000
4.843079,-999.000000,-999.000000
4.865276,-999.000000,-999.000000
4.884178,-999.000000,-999.000000
4.904306,-999.000000,-999.000000
4.923875,-999.000000,-999.000000
4.954166,-999.000000,-999.000000
4.963347,-999.000000,-999.000000
4.983301,-999.000000,-999.000000
5.011300,-999.000000,-999.000000
5.025295,-999.000000,-999.000000
5.043329,-999.000000,-999.000000
5.063421,-999.000000,-999.000000
5.084604,-999.000000,-999.000000
5.104111,-999.000000,-999.000000
5.125624,-999.000000,-999.000000
5.143300,-999.000000,-999.000000
5.165286,-999.000000,-999.000000
5.195459,-999.000000,-999.000000
5.206434,-999.000000,-999.000000
5.226071,-999.000000,-999.000000
5.244765,-999.000000,-999.000000
5.272521,-999.000000,-999.000000
5.292395,-999.000000,-999.000000
5.311588,-999.000000,-999.000000
5.333290,-999.000000,-999.000000
5.342892,-999.000000,-999.000000
5.374041,-999.000000,-999.000000
5.383601,-999.000000,-999.000000
5.414649,-999.000000,-999.000000
5.426545,-999.000000,-999.000000
5.445828,-999.000000,-999.000000
5.464588,-999.000000,-999.000000
5.491262,-999.000000,-999.000000
5.505502,-999.000000,-999.000000
5.524689,-999.000000,-999.000000
5.542908,-999.000000,-999.000000
5.571331,-999.000000,-999.000000
5.585471,-999.000000,-999.000000
5.605316,-999.000000,-999.000000
5.625433,-999.000000,-999.000000
5.654287,-999.000000,-999.000000
5.664257,-999.000000,-999.000000
5.686021,-999.000000,-999.000000
5.712283,-999.000000,-999.000000
5.733107,-999.000000,-999.000000
5.746636,-999.000000,-999.000000
5.772101,-999.000000,-999.000000
5.792624,-999.000000,-999.000000
5.812102,-999.000000,-999.000000
5.825734,-999.000000,-999.000000
5.855568,-999.000000,-999.000000
5.865150,-999.000000,-999.000000
5.884837,-999.000000,-999.000000
5.914625,-999.000000,-999.000000
5.925318,-999.000000,-999.000000
5.951779,-999.000000,-999.000000
5.965728,-999.000000,-999.000000
5.991830,-999.000000,-999.000000
6.013889,-999.000000,-999.000000
6.032549,-999.000000,-999.000000
6.052421,-999.000000,-999.000000
6.073566,-999.000000,-999.000000
6.092398,-999.000000,-999.000000
6.105702,-999.000000,-999.000000
6.126250,-999.000000,-999.000000
6.153588,-999.000000,-999.000000
6.171289,-999.000000,-999.000000
6.192797,-999.000000,-999.000000
6.211456,-999.000000,-999.000000
6.231624,-999.000000,-999.000000
6.255967,-999.000000,-999.000000
6.264264,-999.000000,-999.000000
6.291101,-999.000000,-999.000000
6.305701,-999.000000,-999.000000
6.323968,-999.000000,-999.000000
6.344230,-999.000000,-999.000000
6.366052,-999.000000,-999.000000
6.384867,-999.000000,-999.000000
