tracker_time_ms,message
100833081,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100833081,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100833081,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
100833081,!V TRIAL_VAR Stim_Pos_X_deg 18.0
100833081,!V TRIAL_VAR Stim_Pos_Y_deg -9.0
100833081,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
100833081,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100833081,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100833081,!V TRIAL_VAR Stim_Orientation_deg 0.0
100833081,!V TRIAL_VAR Gap_Duration_ms 100.0
100833081,!V TRIAL_VAR Stim_Duration_ms 200.0
100833081,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100833081,!V TRIAL_VAR Condition_ID C000002
100833082,!V TRIAL_VAR Is_Control False
100833082,!V TRIAL_VAR Stim_Color_Name Gray
100833082,!V TRIAL_VAR Stim_Intensity_Level 150
100833082,!V TRIAL_VAR Stim_Pos_X_deg 18.0
100833082,!V TRIAL_VAR Stim_Pos_Y_deg -9.0
100833088,FIX_ON TRIAL 4
100834725,GAZE_ACQUIRED TRIAL 4
100834956,FIX_OFF TRIAL 4
100835461,!V TRIAL_VAR Status Break_1
100835461,!V TRIAL_VAR Subject_ID Monkey_H18
100835461,TRIAL_RESULT Break_1
100846153,TRIALID 5
100846153,!V TRIAL_VAR Subject_ID Monkey_H18
100846153,!V TRIAL_VAR Planned_Fixation_Duration_ms 507.7632154540748
100846153,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100846153,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100846153,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100846153,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100846153,!V TRIAL_VAR Stim_Pos_X_deg 18.0
100846153,!V TRIAL_VAR Stim_Pos_Y_deg -9.0
100846153,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100846153,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100846153,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100846153,!V TRIAL_VAR Stim_Orientation_deg 0.0
100846153,!V TRIAL_VAR Gap_Duration_ms 100.0
100846153,!V TRIAL_VAR Stim_Duration_ms 200.0
100846153,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100846154,!V TRIAL_VAR Condition_ID C000002
100846154,!V TRIAL_VAR Is_Control False
100846154,!V TRIAL_VAR Stim_Color_Name Gray
100846154,!V TRIAL_VAR Stim_Intensity_Level 150
100846154,!V TRIAL_VAR Stim_Pos_X_deg 18.0
100846154,!V TRIAL_VAR Stim_Pos_Y_deg -9.0
100846160,FIX_ON TRIAL 5
100846514,GAZE_ACQUIRED TRIAL 5
100846881,FIX_OFF TRIAL 5
100846992,STIM_ON TRIAL 5
100847136,TARGET_ENTER TRIAL 5
100847198,STIM_OFF TRIAL 5
100847378,STIM_WINDOW_END TRIAL 5
100847383,REWARD TRIAL 5
100847645,!V TRIAL_VAR Status Success
100847645,!V TRIAL_VAR Subject_ID Monkey_H18
100847645,TRIAL_RESULT Success
100850709,TRIALID 6
100850709,!V TRIAL_VAR Subject_ID Monkey_H18
100850709,!V TRIAL_VAR Planned_Fixation_Duration_ms 542.2331664254282
100850709,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100850709,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100850709,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100850709,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100850709,!V TRIAL_VAR Stim_Pos_X_deg 3.0
100850709,!V TRIAL_VAR Stim_Pos_Y_deg -6.0
100850709,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100850709,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100850709,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100850709,!V TRIAL_VAR Stim_Orientation_deg 0.0
100850709,!V TRIAL_VAR Gap_Duration_ms 100.0
100850709,!V TRIAL_VAR Stim_Duration_ms 200.0
100850709,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100850710,!V TRIAL_VAR Condition_ID C000003
100850711,!V TRIAL_VAR Is_Control False
100850711,!V TRIAL_VAR Stim_Color_Name Gray
100850711,!V TRIAL_VAR Stim_Intensity_Level 180
100850711,!V TRIAL_VAR Stim_Pos_X_deg 3.0
100850711,!V TRIAL_VAR Stim_Pos_Y_deg -6.0
100850716,FIX_ON TRIAL 6
100851664,GAZE_ACQUIRED TRIAL 6
100852004,FIX_OFF TRIAL 6
100852508,!V TRIAL_VAR Status Break_1
100852508,!V TRIAL_VAR Subject_ID Monkey_H18
100852508,TRIAL_RESULT Break_1
100855575,TRIALID 7
100855575,!V TRIAL_VAR Subject_ID Monkey_H18
100855575,!V TRIAL_VAR Planned_Fixation_Duration_ms 634.1187134558209
100855575,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100855575,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100855575,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100855575,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100855575,!V TRIAL_VAR Stim_Pos_X_deg 3.0
100855575,!V TRIAL_VAR Stim_Pos_Y_deg -6.0
100855575,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100855575,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100855575,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100855575,!V TRIAL_VAR Stim_Orientation_deg 0.0
100855575,!V TRIAL_VAR Gap_Duration_ms 100.0
100855575,!V TRIAL_VAR Stim_Duration_ms 200.0
100855575,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100855576,!V TRIAL_VAR Condition_ID C000003
100855576,!V TRIAL_VAR Is_Control False
100855576,!V TRIAL_VAR Stim_Color_Name Gray
100855576,!V TRIAL_VAR Stim_Intensity_Level 180
100855576,!V TRIAL_VAR Stim_Pos_X_deg 3.0
100855576,!V TRIAL_VAR Stim_Pos_Y_deg -6.0
100855582,FIX_ON TRIAL 7
100857595,FIX_OFF TRIAL 7
100857600,!V TRIAL_VAR Status nofix_1
100857600,!V TRIAL_VAR Subject_ID Monkey_H18
100857600,TRIAL_RESULT nofix_1
100860667,TRIALID 8
100860667,!V TRIAL_VAR Subject_ID Monkey_H18
100860667,!V TRIAL_VAR Planned_Fixation_Duration_ms 305.7285215417499
100860667,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100860667,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100860667,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100860667,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100860667,!V TRIAL_VAR Stim_Pos_X_deg 3.0
