event_type,fields
ESACC,R 100749320 100749337 18 176.0 479.8 156.9 554.5 1.27 89
SFIX,R 100749338
EFIX,R 100749338 100749482 145 153.1 568.9 4224
SSACC,R 100749483
ESACC,R 100749483 100749542 60 147.7 567.8 149.3 557.7 0.17 126
SFIX,R 100749543
EFIX,R 100749543 100749569 27 153.3 558.3 4212
SSACC,R 100749570
ESACC,R 100749570 100749576 7 159.8 533.1 160.0 511.8 0.35 56
SFIX,R 100749577
EFIX,R 100749577 100749622 46 169.5 474.2 3777
SSACC,R 100749623
ESACC,R 100749623 100749695 73 178.2 443.7 -3.5 -11.1 8.06 296
SFIX,R 100749696
EFIX,R 100749696 100749988 293 -6.2 -9.8 3646
SSACC,R 100749989
ESACC,R 100749989 100750009 21 -5.9 -10.3 94.4 -57.6 1.77 142
SFIX,R 100750010
EFIX,R 100750010 100750713 704 86.6 -51.0 3161
SSACC,R 100750714
SBLINK,R 100750764
EBLINK,R 100750764 100750841 78
ESACC,R 100750714 100750879 166 80.6 -41.1 -463.7 54.0 8.39 735
SFIX,R 100750880
EFIX,R 100750880 100751126 247 -473.9 59.2 2466
SSACC,R 100751127
SBLINK,R 100751141
EBLINK,R 100751141 100751161 21
ESACC,R 100751127 100751190 64 -499.6 54.5 -397.4 -80.1 2.59 98
SFIX,R 100751191
EFIX,R 100751191 100751365 175 -373.0 -71.0 2622
SSACC,R 100751366
ESACC,R 100751366 100751448 83 -349.4 -62.9 291.9 110.5 10.36 183
SFIX,R 100751449
EFIX,R 100751449 100751621 173 326.9 122.2 3315
SSACC,R 100751622
ESACC,R 100751622 100751647 26 322.7 126.2 294.5 -12.8 2.38 159
SFIX,R 100751648
EFIX,R 100751648 100751866 219 263.8 -46.0 2925
SSACC,R 100751867
ESACC,R 100751867 100751899 33 261.8 -48.0 344.1 239.6 5.01 268
SFIX,R 100751900
EFIX,R 100751900 100752169 270 344.9 260.6 3261
SSACC,R 100752170
ESACC,R 100752170 100752204 35 342.2 257.7 696.5 278.6 5.94 283
SFIX,R 100752205
EFIX,R 100752205 100752433 229 719.0 271.0 3311
SSACC,R 100752434
ESACC,R 100752434 100752453 20 720.2 283.4 670.7 212.5 1.47 122
SFIX,R 100752454
EFIX,R 100752454 100752745 292 662.1 210.1 3455
SSACC,R 100752746
ESACC,R 100752746 100752762 17 649.9 203.7 663.1 154.9 0.86 63
SFIX,R 100752763
EFIX,R 100752763 100752796 34 662.7 153.6 3819
SSACC,R 100752797
SBLINK,R 100752879
EBLINK,R 100752879 100752917 39
ESACC,R 100752797 100752952 156 669.8 156.9 470.1 -80.7 5.24 494
SFIX,R 100752953
EFIX,R 100752953 100753378 426 469.4 -47.9 3155
SSACC,R 100753379
ESACC,R 100753379 100753391 13 480.3 -35.8 431.4 -35.8 0.81 81
SFIX,R 100753392
EFIX,R 100753392 100753848 457 422.1 -20.7 2677
SSACC,R 100753849
SBLINK,R 100753902
EBLINK,R 100753902 100754001 100
ESACC,R 100753849 100754027 179 425.8 -14.1 778.1 457.0 9.94 601
SFIX,R 100754028
EFIX,R 100754028 100754263 236 805.3 303.9 2440
SSACC,R 100754264
ESACC,R 100754264 100754326 63 813.6 290.5 365.1 -11.6 9.10 223
SFIX,R 100754327
EFIX,R 100754327 100754658 332 347.1 -28.7 2838
SSACC,R 100754659
ESACC,R 100754659 100754668 10 355.2 -26.4 383.9 -26.6 0.47 53
SFIX,R 100754669
EFIX,R 100754669 100755911 1243 383.4 -23.0 2443
SSACC,R 100755912
SBLINK,R 100755928
EBLINK,R 100755928 100756101 174
ESACC,R 100755912 100756132 221 410.1 -21.4 476.0 -23.4 1.10 306
SFIX,R 100756133
EFIX,R 100756133 100758745 2613 460.1 -22.1 2417
SSACC,R 100758746
SBLINK,R 100758763
EBLINK,R 100758763 100758944 182
ESACC,R 100758746 100758978 233 474.6 -19.4 575.8 -20.7 1.69 239
SFIX,R 100758979
EFIX,R 100758979 100759730 752 564.8 -15.5 2589
SSACC,R 100759731
ESACC,R 100759731 100759800 70 562.5 -18.3 192.6 377.2 9.03 198
SFIX,R 100759801
EFIX,R 100759801 100759963 163 179.0 405.8 3173
SSACC,R 100759964
ESACC,R 100759964 100759985 22 187.3 400.4 216.2 336.9 1.16 77
SFIX,R 100759986
EFIX,R 100759986 100760013 28 212.3 340.7 3221
SSACC,R 100760014
ESACC,R 100760014 100760020 7 205.4 355.9 197.0 369.2 0.26 46
SFIX,R 100760021
EFIX,R 100760021 100760128 108 179.4 379.4 3694
SSACC,R 100760129
ESACC,R 100760129 100760158 30 175.9 376.2 102.5 617.0 4.15 254
SFIX,R 100760159
EFIX,R 100760159 100760224 66 113.1 598.7 3685
SSACC,R 100760225
ESACC,R 100760225 100760298 74 125.4 571.8 148.2 519.3 0.94 156
SFIX,R 100760299
EFIX,R 100760299 100760327 29 148.9 520.5 3553
SSACC,R 100760328
SBLINK,R 100760433
EBLINK,R 100760433 100760497 65
ESACC,R 100760328 100760552 225 155.2 506.6 441.3 162.4 7.42 1007
SFIX,R 100760553
EFIX,R 100760553 100760944 392 433.3 194.8 4025
SSACC,R 100760945
ESACC,R 100760945 100760977 33 416.7 157.3 163.7 -21.7 5.11 273
SFIX,R 100760978
EFIX,R 100760978 100761193 216 155.1 -32.6 3707
SSACC,R 100761194
ESACC,R 100761194 100761201 8 151.0 -32.6 135.0 -52.4 0.42 55
SFIX,R 100761202
EFIX,R 100761202 100761921 720 130.7 -55.6 3317
SSACC,R 100761922
ESACC,R 100761922 100761983 62 125.8 -52.3 -117.6 189.8 5.52 110
SFIX,R 100761984
EFIX,R 100761984 100763197 1214 -190.0 244.2 2850
SSACC,R 100763198
SBLINK,R 100763231
EBLINK,R 100763231 100763434 204
ESACC,R 100763198 100763455 258 -168.8 221.1 237.8 50.8 7.01 384
SFIX,R 100763456
EFIX,R 100763456 100763515 60 221.7 96.4 2976
SSACC,R 100763516
SBLINK,R 100763538
EBLINK,R 100763538 100763609 72
ESACC,R 100763516 100763618 103 220.1 95.7 225.7 56.5 0.66 64
SFIX,R 100763619
EFIX,R 100763619 100763696 78 212.1 131.3 3335
SSACC,R 100763697
ESACC,R 100763697 100763707 11 208.8 161.5 213.1 133.7 0.47 47
SFIX,R 100763708
EFIX,R 100763708 100763873 166 225.6 68.9 3038
SSACC,R 100763874
SBLINK,R 100763893
EBLINK,R 100763893 100764416 524
ESACC,R 100763874 100764425 552 227.0 58.0 230.6 36.3 0.37 45
SFIX,R 100764426
EFIX,R 100764426 100764468 43 167.8 133.0 1139
SSACC,R 100764469
ESACC,R 100764469 100764493 25 168.5 159.9 252.1 234.8 1.85 163
SFIX,R 100764494
EFIX,R 100764494 100764769 276 196.1 445.3 2901
SSACC,R 100764770
ESACC,R 100764770 100764788 19 183.8 543.3 160.8 609.6 1.15 69
SFIX,R 100764789
EFIX,R 100764789 100764812 24 156.8 611.8 3783
SSACC,R 100764813
ESACC,R 100764813 100764832 20 159.3 597.5 246.8 640.1 1.57 117
SFIX,R 100764833
EFIX,R 100764833 100765305 473 234.6 658.9 3508
SSACC,R 100765306
ESACC,R 100765306 100765314 9 243.5 656.3 246.5 625.2 0.52 62
SFIX,R 100765315
EFIX,R 100765315 100766274 960 223.3 608.3 3558
SSACC,R 100766275
SBLINK,R 100766301
EBLINK,R 100766301 100766493 193
ESACC,R 100766275 100766514 240 228.7 623.3 538.0 497.7 5.50 146
SFIX,R 100766515
EFIX,R 100766515 100766568 54 549.4 456.3 3468
SSACC,R 100766569
ESACC,R 100766569 100766582 14 544.1 401.5 548.8 351.4 0.85 84
SFIX,R 100766583
EFIX,R 100766583 100766721 139 562.5 338.5 3626
SSACC,R 100766722
ESACC,R 100766722 100766728 7 573.2 334.6 595.7 341.6 0.40 48
SFIX,R 100766729
EFIX,R 100766729 100766753 25 593.3 336.6 3519
SSACC,R 100766754
SBLINK,R 100766802
EBLINK,R 100766802 100767784 983
ESACC,R 100766754 100767849 1096 585.6 336.2 292.9 708.3 7.89 257
SFIX,R 100767850
EFIX,R 100767850 100767928 79 286.7 702.0 3250
SSACC,R 100767929
SBLINK,R 100767943
EBLINK,R 100767943 100767945 3
ESACC,R 100767929 100767954 26 296.4 708.9 299.4 703.8 0.10 53
SFIX,R 100767955
EFIX,R 100767955 100767978 24 294.7 632.7 2763
SSACC,R 100767979
ESACC,R 100767979 100767995 17 310.6 593.2 374.9 508.4 1.77 142
SFIX,R 100767996
EFIX,R 100767996 100768146 151 372.7 468.0 3328
SSACC,R 100768147
ESACC,R 100768147 100768180 34 373.7 467.8 292.5 602.6 2.62 128
SFIX,R 100768181
EFIX,R 100768181 100768515 335 224.5 655.3 3177
SSACC,R 100768516
ESACC,R 100768516 100768522 7 218.6 658.3 229.7 643.8 0.30 45
SFIX,R 100768523
EFIX,R 100768523 100768873 351 231.0 648.0 3078
SSACC,R 100768874
ESACC,R 100768874 100768933 60 225.4 656.0 586.5 455.1 6.82 191
SFIX,R 100768934
EFIX,R 100768934 100769159 226 653.8 304.0 3075
SSACC,R 100769160
ESACC,R 100769160 100769176 17 661.5 266.8 712.6 235.6 1.02 97
SFIX,R 100769177
EFIX,R 100769177 100769379 203 717.7 224.8 3229
SSACC,R 100769380
ESACC,R 100769380 100769393 14 711.3 226.5 663.7 236.9 0.83 74
SFIX,R 100769394
EFIX,R 100769394 100770002 609 658.0 229.5 3522
SSACC,R 100770003
ESACC,R 100770003 100770036 34 656.1 229.2 715.1 507.2 4.84 211
SFIX,R 100770037
EFIX,R 100770037 100770311 275 711.8 549.1 3290
SSACC,R 100770312
ESACC,R 100770312 100770341 30 713.3 557.0 519.7 672.2 3.77 205
SFIX,R 100770342
EFIX,R 100770342 100770613 272 506.4 668.0 3155
SSACC,R 100770614
ESACC,R 100770614 100770638 25 504.9 669.1 338.4 679.0 2.75 165
SFIX,R 100770639
EFIX,R 100770639 100770827 189 313.6 687.7 3114
SSACC,R 100770828
ESACC,R 100770828 100770851 24 315.6 686.6 458.5 660.1 2.39 172
SFIX,R 100770852
EFIX,R 100770852 100771237 386 488.3 670.4 3152
SSACC,R 100771238
SBLINK,R 100771252
EBLINK,R 100771252 100771727 476
ESACC,R 100771238 100771736 499 495.3 667.6 494.9 669.0 0.02 33
SFIX,R 100771737
EFIX,R 100771737 100771804 68 597.3 689.6 2182
SSACC,R 100771805
ESACC,R 100771805 100771839 35 593.9 662.2 544.2 568.5 1.78 85
SFIX,R 100771840
EFIX,R 100771840 100772492 653 584.8 448.6 3103
SSACC,R 100772493
SBLINK,R 100772567
EBLINK,R 100772567 100772572 6
ESACC,R 100772493 100772604 112 585.3 417.5 225.3 -47.3 9.82 246
SFIX,R 100772605
EFIX,R 100772605 100772662 58 236.8 -78.4 3066
SSACC,R 100772663
ESACC,R 100772663 100772688 26 231.8 -83.7 208.6 -41.7 0.79 58
SFIX,R 100772689
EFIX,R 100772689 100772799 111 176.8 14.3 3716
SSACC,R 100772800
ESACC,R 100772800 100772819 20 145.2 64.1 116.4 -2.6 1.20 103
SFIX,R 100772820
EFIX,R 100772820 100773144 325 122.0 -37.0 4136
SSACC,R 100773145
ESACC,R 100773145 100773156 12 127.5 -25.4 167.0 -46.9 0.73 73
SFIX,R 100773157
EFIX,R 100773157 100774621 1465 146.7 -48.1 3549
SSACC,R 100774622
SBLINK,R 100774632
EBLINK,R 100774632 100774842 211
ESACC,R 100774622 100774851 230 127.5 -25.4 167.0 -46.9 0.73 0
SFIX,R 100774852
EFIX,R 100774852 100775901 1050 136.0 -51.9 3377
SSACC,R 100775902
SBLINK,R 100775925
EBLINK,R 100775925 100776051 127
ESACC,R 100775902 100776084 183 135.4 -51.0 -82.6 194.7 5.32 809
SFIX,R 100776085
EFIX,R 100776085 100776110 26 -81.1 170.2 2389
SSACC,R 100776111
ESACC,R 100776111 100776138 28 -86.3 165.4 -113.9 179.9 0.49 180
SFIX,R 100776139
EFIX,R 100776139 100776559 421 -120.7 188.3 2448
SSACC,R 100776560
ESACC,R 100776560 100776597 38 -90.5 141.3 65.5 124.4 2.47 95
SFIX,R 100776598
EFIX,R 100776598 100777052 455 140.7 90.4 3284
SSACC,R 100777053
ESACC,R 100777053 100777064 12 155.9 83.2 172.2 56.1 0.52 48
SFIX,R 100777065
EFIX,R 100777065 100777172 108 194.7 12.2 3135
SSACC,R 100777173
ESACC,R 100777173 100777239 67 203.0 3.8 225.3 -189.5 3.23 140
SFIX,R 100777240
EFIX,R 100777240 100777552 313 217.9 -242.0 3070
SSACC,R 100777553
ESACC,R 100777553 100777607 55 231.7 -222.7 583.5 125.2 8.23 208
SFIX,R 100777608
EFIX,R 100777608 100777867 260 602.3 169.7 3153
SSACC,R 100777868
ESACC,R 100777868 100777894 27 600.7 169.9 734.2 308.8 3.27 234
SFIX,R 100777895
EFIX,R 100777895 100778226 332 729.4 293.8 3455
SSACC,R 100778227
ESACC,R 100778227 100778246 20 734.1 288.7 716.5 188.9 1.73 128
SFIX,R 100778247
EFIX,R 100778247 100778420 174 696.9 162.2 3477
SSACC,R 100778421
ESACC,R 100778421 100778649 229 696.9 164.4 727.2 179.5 0.58 385
SFIX,R 100778650
EFIX,R 100778650 100778845 196 707.9 195.2 4439
SSACC,R 100778846
SBLINK,R 100778871
EBLINK,R 100778871 100779012 142
ESACC,R 100778846 100779149 304 693.9 148.9 512.5 260.0 3.60 457
SFIX,R 100779150
EFIX,R 100779150 100779246 97 511.1 283.7 1818
SSACC,R 100779247
ESACC,R 100779247 100779264 18 492.4 291.1 460.0 249.1 0.90 62
SFIX,R 100779265
EFIX,R 100779265 100779297 33 425.1 260.4 1554
SSACC,R 100779298
SBLINK,R 100779317
EBLINK,R 100779317 100779683 367
ESACC,R 100779298 100779835 538 384.3 267.3 687.3 455.5 5.99 301
SFIX,R 100779836
EFIX,R 100779836 100779984 149 715.9 315.7 3475
SSACC,R 100779985
SBLINK,R 100780060
EBLINK,R 100780060 100780489 430
ESACC,R 100779985 100780528 544 719.1 280.2 443.8 32.4 6.26 369
SFIX,R 100780529
EFIX,R 100780529 100780769 241 424.9 1.9 3697
SSACC,R 100780770
ESACC,R 100780770 100780788 19 414.6 6.0 353.2 -41.1 1.29 132
SFIX,R 100780789
EFIX,R 100780789 100781454 666 336.0 -49.2 3291
SSACC,R 100781455
SBLINK,R 100781475
EBLINK,R 100781475 100781593 119
ESACC,R 100781455 100781639 185 318.7 -57.1 224.4 -72.1 1.56 755
SFIX,R 100781640
EFIX,R 100781640 100782193 554 216.2 -59.6 3117
SSACC,R 100782194
SBLINK,R 100782214
EBLINK,R 100782214 100782319 106
ESACC,R 100782194 100782362 169 216.4 -48.9 206.0 -50.7 0.17 764
SFIX,R 100782363
EFIX,R 100782363 100783994 1632 183.6 -54.5 3110
SSACC,R 100783995
ESACC,R 100783995 100784062 68 181.4 -54.9 -50.0 263.4 6.42 132
SFIX,R 100784063
EFIX,R 100784063 100784142 80 -67.5 338.5 3863
SSACC,R 100784143
ESACC,R 100784143 100784274 132 -69.3 351.9 -57.4 262.8 1.47 210
SFIX,R 100784275
EFIX,R 100784275 100784303 29 -53.6 254.7 3597
SSACC,R 100784304
ESACC,R 100784304 100784316 13 -54.5 255.9 -77.0 279.5 0.52 58
SFIX,R 100784317
EFIX,R 100784317 100784368 52 -65.6 279.1 3666
SSACC,R 100784369
ESACC,R 100784369 100784481 113 -59.9 250.6 -65.5 29.4 3.63 917
SFIX,R 100784482
EFIX,R 100784482 100784556 75 -99.8 14.3 3287
SSACC,R 100784557
ESACC,R 100784557 100784568 12 -95.7 -2.7 -108.8 -26.7 0.44 60
SFIX,R 100784569
EFIX,R 100784569 100784875 307 -92.8 -55.6 2817
SSACC,R 100784876
ESACC,R 100784876 100784904 29 -73.9 -94.8 -132.7 91.1 3.16 234
SFIX,R 100784905
EFIX,R 100784905 100785415 511 -124.6 67.5 3577
SSACC,R 100785416
ESACC,R 100785416 100785432 17 -92.0 -20.1 -93.7 -25.3 0.09 75
SFIX,R 100785433
EFIX,R 100785433 100785568 136 -92.3 7.4 3454
SSACC,R 100785569
ESACC,R 100785569 100785627 59 -96.0 21.4 241.3 -2.0 5.37 139
SFIX,R 100785628
EFIX,R 100785628 100786101 474 271.8 2.8 3602
SSACC,R 100786102
SBLINK,R 100786121
EBLINK,R 100786121 100786221 101
ESACC,R 100786102 100786259 158 273.7 32.8 674.2 362.7 8.68 547
SFIX,R 100786260
EFIX,R 100786260 100786673 414 676.2 270.1 3461
SSACC,R 100786674
ESACC,R 100786674 100786686 13 672.6 273.0 701.9 237.1 0.79 76
SFIX,R 100786687
EFIX,R 100786687 100786926 240 706.9 239.2 3477
SSACC,R 100786927
ESACC,R 100786927 100787017 91 712.5 229.6 433.0 76.9 5.37 152
SFIX,R 100787018
EFIX,R 100787018 100787137 120 426.1 79.3 3782
SSACC,R 100787138
ESACC,R 100787138 100787172 35 422.0 83.6 713.3 230.8 5.49 251
SFIX,R 100787173
EFIX,R 100787173 100787298 126 718.2 245.0 3555
SSACC,R 100787299
ESACC,R 100787299 100787311 13 714.7 243.9 674.6 228.3 0.73 65
SFIX,R 100787312
EFIX,R 100787312 100788141 830 664.1 228.3 3652
SSACC,R 100788142
ESACC,R 100788142 100788152 11 672.7 219.0 686.9 198.1 0.43 49
SFIX,R 100788153
EFIX,R 100788153 100788779 627 697.8 206.5 3617
SSACC,R 100788780
SBLINK,R 100788798
EBLINK,R 100788798 100788973 176
ESACC,R 100788780 100789021 242 697.5 212.2 756.3 352.4 2.60 437
SFIX,R 100789022
EFIX,R 100789022 100790281 1260 758.5 241.7 3216
SSACC,R 100790282
ESACC,R 100790282 100790305 24 754.4 243.1 640.4 236.4 1.93 116
SFIX,R 100790306
EFIX,R 100790306 100791070 765 653.3 236.2 3549
SSACC,R 100791071
ESACC,R 100791071 100791114 44 658.5 217.9 755.7 569.0 6.19 276
SFIX,R 100791115
EFIX,R 100791115 100791233 119 797.0 380.4 3148
SSACC,R 100791234
ESACC,R 100791234 100791255 22 809.9 282.7 789.3 379.0 1.68 96
SFIX,R 100791256
EFIX,R 100791256 100791296 41 791.8 422.5 3199
SSACC,R 100791297
ESACC,R 100791297 100791311 15 798.2 421.1 781.4 450.0 0.57 77
SFIX,R 100791312
EFIX,R 100791312 100791381 70 804.5 449.9 3063
SSACC,R 100791382
ESACC,R 100791382 100791448 67 808.6 448.6 429.8 682.5 7.46 184
SFIX,R 100791449
EFIX,R 100791449 100791487 39 394.8 672.3 3337
SSACC,R 100791488
ESACC,R 100791488 100791504 17 362.4 661.6 389.6 579.6 1.44 130
SFIX,R 100791505
EFIX,R 100791505 100791965 461 369.3 528.1 3560
SSACC,R 100791966
ESACC,R 100791966 100792002 37 394.0 544.3 589.1 359.6 4.50 198
SFIX,R 100792003
EFIX,R 100792003 100792266 264 654.3 271.4 3517
SSACC,R 100792267
ESACC,R 100792267 100792277 11 659.3 240.5 668.0 205.6 0.61 66
SFIX,R 100792278
EFIX,R 100792278 100793106 829 660.9 220.8 3550
SSACC,R 100793107
ESACC,R 100793107 100793126 20 664.1 228.2 747.4 228.2 1.41 92
SFIX,R 100793127
EFIX,R 100793127 100794549 1423 765.8 238.3 3228
SSACC,R 100794550
ESACC,R 100794550 100794563 14 765.6 248.8 761.8 288.4 0.68 65
SFIX,R 100794564
EFIX,R 100794564 100799686 5123 759.9 302.0 3197
SSACC,R 100799687
ESACC,R 100799687 100799695 9 768.8 293.4 773.7 274.7 0.33 41
SFIX,R 100799696
EFIX,R 100799696 100801273 1578 777.2 253.3 3170
SSACC,R 100801274
ESACC,R 100801274 100801347 74 769.9 247.5 216.6 304.9 9.23 200
SFIX,R 100801348
EFIX,R 100801348 100801790 443 187.0 302.6 3869
SSACC,R 100801791
ESACC,R 100801791 100801815 25 179.3 285.0 50.1 265.7 2.10 100
SFIX,R 100801816
EFIX,R 100801816 100801976 161 -10.3 260.6 4165
SSACC,R 100801977
ESACC,R 100801977 100801993 17 -16.1 263.0 2.9 214.7 0.85 55
SFIX,R 100801994
EFIX,R 100801994 100802396 403 30.4 141.5 3820
SSACC,R 100802397
ESACC,R 100802397 100802407 11 30.7 129.2 21.2 163.5 0.59 68
SFIX,R 100802408
EFIX,R 100802408 100802801 394 17.3 165.8 3757
SSACC,R 100802802
ESACC,R 100802802 100802819 18 51.2 53.9 57.5 48.5 0.13 98
SFIX,R 100802820
EFIX,R 100802820 100802939 120 45.9 38.5 2795
SSACC,R 100802940
ESACC,R 100802940 100802998 59 44.4 36.0 81.0 -24.9 1.16 217
SFIX,R 100802999
EFIX,R 100802999 100803308 310 84.9 -37.7 3620
SSACC,R 100803309
ESACC,R 100803309 100803318 10 85.4 -42.1 120.7 -46.8 0.57 64
SFIX,R 100803319
EFIX,R 100803319 100805082 1764 136.3 -42.0 3542
SSACC,R 100805083
SBLINK,R 100805106
EBLINK,R 100805106 100805236 131
ESACC,R 100805083 100805256 174 139.2 -5.8 465.0 216.9 6.51 768
SFIX,R 100805257
EFIX,R 100805257 100805602 346 437.1 114.7 3471
SSACC,R 100805603
ESACC,R 100805603 100805660 58 453.2 126.1 703.9 258.9 4.78 109
SFIX,R 100805661
EFIX,R 100805661 100806232 572 751.0 260.1 3515
SSACC,R 100806233
ESACC,R 100806233 100806275 43 744.0 269.4 775.6 433.7 2.86 113
SFIX,R 100806276
EFIX,R 100806276 100806613 338 789.1 457.6 4140
SSACC,R 100806614
SBLINK,R 100806694
EBLINK,R 100806694 100806805 112
ESACC,R 100806614 100806937 324 780.9 451.4 481.5 624.4 5.81 351
SFIX,R 100806938
EFIX,R 100806938 100807113 176 531.6 732.9 3638
SSACC,R 100807114
ESACC,R 100807114 100807120 7 545.2 737.2 564.8 747.5 0.37 57
SFIX,R 100807121
EFIX,R 100807121 100807151 31 582.6 761.7 3229
SSACC,R 100807152
SBLINK,R 100807162
EBLINK,R 100807162 100807180 19
ESACC,R 100807152 100807189 38 545.2 737.2 564.8 747.5 0.37 0
SFIX,R 100807190
EFIX,R 100807190 100807497 308 399.3 707.6 3138
SSACC,R 100807498
ESACC,R 100807498 100807527 30 382.6 689.1 166.1 715.3 3.53 196
SFIX,R 100807528
EFIX,R 100807528 100807853 326 175.3 701.6 3149
SSACC,R 100807854
ESACC,R 100807854 100807888 35 179.5 695.0 463.8 688.5 4.63 194
SFIX,R 100807889
EFIX,R 100807889 100808324 436 473.9 681.5 3406
SSACC,R 100808325
ESACC,R 100808325 100808357 33 478.2 690.9 198.3 693.1 4.56 235
SFIX,R 100808358
EFIX,R 100808358 100808708 351 190.1 698.0 3395
SSACC,R 100808709
ESACC,R 100808709 100808779 71 193.9 702.3 481.3 92.1 11.21 237
SFIX,R 100808780
EFIX,R 100808780 100808971 192 494.9 90.8 3458
SSACC,R 100808972
ESACC,R 100808972 100808997 26 501.7 95.6 335.9 -10.3 3.28 199
SFIX,R 100808998
EFIX,R 100808998 100809250 253 292.2 -30.3 3765
SSACC,R 100809251
ESACC,R 100809251 100809265 15 283.5 -40.2 225.0 -40.8 0.95 79
SFIX,R 100809266
EFIX,R 100809266 100809328 63 220.0 -30.1 3945
SSACC,R 100809329
SBLINK,R 100809339
EBLINK,R 100809339 100809570 232
ESACC,R 100809329 100809579 251 283.5 -40.2 225.0 -40.8 0.95 0
SFIX,R 100809580
EFIX,R 100809580 100809653 74 214.2 -15.6 3703
SSACC,R 100809654
ESACC,R 100809654 100809662 9 208.5 -27.8 190.2 -45.6 0.42 51
SFIX,R 100809663
EFIX,R 100809663 100810552 890 192.7 -42.1 3565
SSACC,R 100810553
ESACC,R 100810553 100810601 49 179.8 -53.6 -98.5 67.1 4.83 141
SFIX,R 100810602
EFIX,R 100810602 100811308 707 -166.7 50.4 2969
SSACC,R 100811309
ESACC,R 100811309 100811331 23 -169.4 65.4 -105.5 92.1 1.08 78
SFIX,R 100811332
EFIX,R 100811332 100812481 1150 -120.4 82.8 3406
SSACC,R 100812482
SBLINK,R 100812509
EBLINK,R 100812509 100812650 142
ESACC,R 100812482 100812705 224 -129.2 64.2 84.6 40.0 3.37 541
SFIX,R 100812706
EFIX,R 100812706 100812837 132 83.3 38.8 3217
SSACC,R 100812838
ESACC,R 100812838 100812859 22 81.8 39.4 121.0 -54.8 1.68 125
SFIX,R 100812860
EFIX,R 100812860 100813261 402 116.0 -50.2 3118
SSACC,R 100813262
