event_type,fields
START,100743189 RIGHT SAMPLES EVENTS
INPUT,100743189 127
SFIX,R 100743196
EFIX,R 100743196 100743337 142 113.0 501.9 1967
SSACC,R 100743338
SBLINK,R 100743400
EBLINK,R 100743400 100743412 13
ESACC,R 100743338 100743477 140 111.0 495.3 -171.4 477.0 4.42 356
SFIX,R 100743478
EFIX,R 100743478 100743659 182 -190.5 524.3 1961
SSACC,R 100743660
ESACC,R 100743660 100743704 45 -196.8 523.5 261.0 187.7 9.08 377
SFIX,R 100743705
EFIX,R 100743705 100743863 159 278.6 206.6 2148
SSACC,R 100743864
ESACC,R 100743864 100743895 32 274.0 204.0 177.2 -37.1 4.33 282
SFIX,R 100743896
EFIX,R 100743896 100744251 356 175.2 -39.6 2097
SSACC,R 100744252
ESACC,R 100744252 100744298 47 179.8 -25.6 391.2 440.4 8.53 328
SFIX,R 100744299
EFIX,R 100744299 100744585 287 421.9 466.8 3052
SSACC,R 100744586
ESACC,R 100744586 100744633 48 422.1 463.9 203.3 -15.0 8.79 325
SFIX,R 100744634
EFIX,R 100744634 100744809 176 198.9 -10.0 3205
SSACC,R 100744810
ESACC,R 100744810 100744816 7 190.5 -7.5 180.2 -17.8 0.24 38
SFIX,R 100744817
EFIX,R 100744817 100744943 127 169.6 -20.6 3168
SSACC,R 100744944
SBLINK,R 100744965
EBLINK,R 100744965 100745052 88
ESACC,R 100744944 100745100 157 170.7 -20.0 162.6 -23.6 0.14 825
SFIX,R 100745101
EFIX,R 100745101 100745547 447 160.3 -20.1 3117
SSACC,R 100745548
ESACC,R 100745548 100745567 20 160.3 -24.8 253.9 -32.4 1.52 128
SFIX,R 100745568
EFIX,R 100745568 100747079 1512 269.8 -25.6 2665
SSACC,R 100747080
ESACC,R 100747080 100747124 45 285.2 -28.9 494.0 121.8 4.29 128
SFIX,R 100747125
EFIX,R 100747125 100747279 155 513.4 153.5 2500
SSACC,R 100747280
ESACC,R 100747280 100747305 26 515.0 155.9 558.0 -6.8 2.86 198
SFIX,R 100747306
EFIX,R 100747306 100747761 456 550.8 -11.7 2602
SSACC,R 100747762
ESACC,R 100747762 100747777 16 542.6 -15.5 480.2 -18.2 1.04 84
SFIX,R 100747778
EFIX,R 100747778 100748412 635 466.2 -20.1 2569
SSACC,R 100748413
SBLINK,R 100748436
EBLINK,R 100748436 100748535 100
ESACC,R 100748413 100748555 143 453.8 -21.2 431.4 456.7 8.07 475
SFIX,R 100748556
EFIX,R 100748556 100748584 29 437.0 427.6 2764
SSACC,R 100748585
ESACC,R 100748585 100748630 46 446.0 402.1 145.6 572.6 5.67 205
SFIX,R 100748631
EFIX,R 100748631 100748883 253 141.5 578.2 2847
SSACC,R 100748884
ESACC,R 100748884 100748902 19 138.4 586.3 145.5 629.3 0.72 105
SFIX,R 100748903
EFIX,R 100748903 100748960 58 154.7 589.2 3150
SSACC,R 100748961
ESACC,R 100748961 100748967 7 178.7 525.5 180.9 489.2 0.60 79
SFIX,R 100748968
EFIX,R 100748968 100749074 107 223.8 353.0 2261
SSACC,R 100749075
ESACC,R 100749075 100749090 16 233.7 273.5 250.1 244.8 0.55 85
SFIX,R 100749091
EFIX,R 100749091 100749148 58 247.4 239.5 1980
SSACC,R 100749149
ESACC,R 100749149 100749159 11 233.8 261.5 207.7 299.0 0.76 86
SFIX,R 100749160
EFIX,R 100749160 100749319 160 182.6 423.9 3098
SSACC,R 100749320
