Trial,Status,Time_TrialStart,Time_DrawFinish,Time_GazeEnter,Time_End
1,Success,31.558648000005633,31.56100620003417,31.892831000033766,34.10731049999595
2,Success,39.124071300029755,39.12462560017593,39.292138800024986,41.52368270000443
3,Success,46.5397805001121,46.54041350004263,46.54103279998526,48.773355700075626
4,Break,52.76283110002987,52.76339630014263,52.76388800004497,55.51308980002068
5,Success,104.38227570010349,104.3830304001458,104.63308240007609,106.86456220014952
6,Success,111.88081380003132,111.88195049995556,112.1335160001181,114.38159430003725
7,Success,119.40562890004367,119.40622850018553,119.77318580006249,121.9902137001045
8,Success,127.01278990018182,127.0133050000295,127.23025230015628,129.45206589996815
9,Success,134.4706592001021,134.4714778000489,134.65570770017803,136.88642000011168
10,Success,141.90267059998587,141.90344869997352,141.90409000008367,144.13663630001247
11,Break,149.16006839997135,149.16067310003564,149.36108139995486,152.2612193999812
12,Success,157.28572429995984,157.28642700007185,157.48603969998658,159.70144760003313
13,Success,164.71819519996643,164.7188681999687,164.986114700092,167.2289472001139
14,Success,172.2503729001619,172.25132900010794,172.501323700184,174.71934589999728
15,Success,179.74107730016112,179.7419609001372,179.94303900003433,182.16037610010244
16,Success,187.1830613000784,187.1837087001186,187.38317150017247,189.59785020002164
17,Success,194.61467829998583,194.6151912000496,194.81748190009966,197.0643647001125
18,Break,202.0803762001451,202.0811173999682,207.67092020018026,212.0046610001009
19,Break,217.02092780009843,217.02237839996815,217.2218639999628,221.7077585000079
20,NoFix,226.730472400086,226.7311824001372,,236.75809779996052
21,NoFix,241.7800066000782,241.78069559996948,,251.79784790007398
22,Success,256.8193860000465,256.81989100016654,257.020630300045,259.2514722000342
23,Break,264.2686336999759,264.269143700134,267.09722380014136,270.1807742000092
24,Success,275.20580009999685,275.2065510000102,275.38987610000186,277.60613250010647
25,Success,282.6380102999974,282.63902990007773,282.888965500053,285.1195525000803
26,Break,290.1365376000758,290.1371667999774,290.3545982001815,294.605264400132
27,Success,299.6375760000665,299.6380719000008,299.97201370005496,302.2046414001379
28,Success,307.2376604999881,307.23826280003414,307.5047691001091,309.7203720000107
29,Success,314.74430070002563,314.7450817001518,314.94630800001323,317.1615863000043
30,Success,322.18579820008017,322.1863220001105,324.1710822000168,326.3865533999633
31,Success,331.4025722001679,331.40322310011834,331.9205983001739,334.13816680014133
32,Success,339.1604732000269,339.1611091000959,339.34571130014956,341.56062570004724
33,Success,346.5774761000648,346.5780836001504,346.8281078999862,349.04387359996326
34,Success,354.0677535000723,354.06839810009114,354.3358614000026,356.55155970016494
35,Break,361.57590580009855,361.5765207000077,361.5769973001443,365.11077490006573
36,Success,370.13308150018565,370.1336225999985,370.31781470007263,372.5335532000754
37,Success,377.55888220015913,377.5597987000365,377.7761109001003,379.9928713000845
38,Success,385.01603240007535,385.0166643001139,385.284093900118,387.53371990006417
39,Success,392.55691549996845,392.55758120003156,393.04096710006706,395.25850580004044
40,Success,400.2806031999644,400.28123900014907,400.5164974001236,402.74778309999965
41,Break,407.77203360013664,407.7726895001251,408.1401694000233,411.5310746000614
42,Success,416.5475002999883,416.5480833000038,416.748305400135,418.9658758000005
43,Success,423.9884898001328,423.98907230002806,424.05578000005335,426.27187240007333
44,Success,431.29633849998936,431.2969120000489,431.56367890001275,433.7911688000895
45,Success,438.8111491999589,438.81171769998036,438.8121963001322,441.0436303000897
46,Success,446.0603487000335,446.0610742000863,446.29478979995474,448.5126394999679
47,Success,453.5349980001338,453.53553360002115,453.53600449999794,455.75173719995655
48,Success,460.7757620001212,460.776422200026,460.91023060004227,463.1443901001476
49,Success,468.1738049001433,468.17430610000156,468.3753531000111,470.5910179000348
50,Success,475.61542240018025,475.6161597999744,475.7830032000784,478.01456260005943
51,Success,483.0306001000572,483.03114089998417,483.2315547000617,485.4484164000023
52,Success,490.47174030006863,490.4723979001865,490.4730293999892,492.70281750010327
53,Success,497.7207192000933,497.7213210000191,497.95521869999357,500.17124130018055
54,Success,505.1951322001405,505.1959751001559,505.680408900138,507.9125350001268
55,Success,512.9365622000769,512.9372757000383,513.1378470000345,515.3689648001455
56,Success,520.3854803000577,520.3861975001637,520.6200258999597,522.8527588001452
