Trial,Status,Time_TrialStart,Time_DrawFinish,Time_GazeEnter,Time_End
1,NoFix,28.73750069999369,28.73883319995366,,33.75944439996965
2,NoFix,36.77716949995374,36.77760249999119,,41.80949159996817
3,NoFix,44.82732669997495,44.82784499996342,,49.859079199959524
4,NoFix,52.87689329998102,52.87733779998962,,57.90889049996622
5,NoFix,60.92687089997344,60.92731790000107,,65.95922199997585
6,NoFix,68.97601109999232,68.97645239997655,,74.00851889996557
7,NoFix,77.02605379995657,77.02651509997668,,82.05960669997148
8,NoFix,85.0759790999582,85.07641469995724,,90.10804500000086
9,NoFix,93.12557789997663,93.12603220000165,,98.1579034999595
10,NoFix,101.17478770000162,101.17523249995429,,106.20762439997634
11,NoFix,109.22486259997822,109.22533329995349,,114.25737659999868
12,NoFix,117.27449609996984,117.27491390000796,,122.30763739999384
13,NoFix,125.3245806999621,125.32506489998195,,130.34944779996295
14,NoFix,133.36658279999392,133.3671861999901,,138.39889839995885
15,NoFix,141.4094555999618,141.4098620999721,,146.44005039997865
16,NoFix,149.44923470000504,149.44966699997894,,154.4816417999682
17,NoFix,157.49870459997328,157.49910670000827,,162.52346170000965
18,NoFix,165.5403943999554,165.54083419998642,,170.57334359997185
19,NoFix,173.59026939998148,173.59075769997435,,178.62335949996486
20,NoFix,181.6412466999609,181.64196859998628,,186.66403449996142
21,NoFix,189.68121039995458,189.68164899997646,,194.71383459999925
22,NoFix,197.73223049996886,197.73271509999176,,202.76374029996805
23,NoFix,205.78077399998438,205.78119379997952,,210.81334689998766
24,NoFix,213.8311759000062,213.83158019999973,,218.8636511999648
25,NoFix,221.88066179997986,221.8811163000064,,226.9047281999956
26,NoFix,229.92252949997783,229.9230244999635,,234.94674939999823
27,NoFix,237.9633143999963,237.96378859999822,,242.98809269996127
28,NoFix,246.00456949998625,246.00505839998368,,251.03728689998388
29,NoFix,254.05501989996992,254.05542910000077,,259.07876129995566
30,NoFix,262.08860999997705,262.08907309995266,,267.12024469999596
31,NoFix,270.1299281999818,270.1304419999942,,275.16174489998957
32,NoFix,278.17979209998157,278.18021879997104,,283.2121105999686
33,NoFix,286.2289067999809,286.22938299999805,,291.2613898999989
34,NoFix,294.27870119997533,294.27916169998934,,299.3033721999964
35,NoFix,302.3215365000069,302.32200320000993,,307.34439129999373
36,NoFix,310.36166180000873,310.36214089998975,,315.3940610999707
37,Break,318.4118061999907,318.4122759999591,318.41271649999544,319.5980442999862
38,Success,322.6156945999828,322.61617160000606,322.616812799999,322.8185142999864
39,Success,325.8355273999623,325.83593269996345,325.83636499999557,326.04659959999844
40,Success,329.0644864999922,329.0649723999668,329.06543689995306,329.2753225999768
41,NoFix,332.2928310999996,332.29327179997927,,337.32465249998495
42,NoFix,340.34370099997614,340.34411849995377,,345.37425389996497
43,NoFix,348.3921946999617,348.3926591000054,,353.40826039999956
44,Success,360.93391109997174,360.9344795999932,361.5913000999717,361.8077642999706
45,Success,364.82427609997103,364.8247391000041,364.8251059000031,365.02778469998157
46,Success,368.0452382999938,368.0456986000063,368.04614499997115,368.24762659997214
47,Success,371.2643562000012,371.2648235000088,371.2651960999938,371.47714430000633
48,Success,374.4935268999543,374.49396019999404,374.4943377999589,374.7043003999861
49,NoFix,377.72197129996493,377.7224070999655,,382.745411699987
50,Success,385.76396700000623,385.7643956000102,385.7647685999982,385.96582809998654
51,Success,388.9737100999919,388.9742074999958,388.9747417999897,389.1787304999889
52,Success,392.1954793999903,392.1959421999636,392.1964480999741,392.39726399997016
53,Success,395.4140728999628,395.41454769996926,395.4149640999967,395.6256602999638
54,Success,398.6421465000021,398.6425868999795,398.6429449999705,398.85401199996704
55,Success,401.8708642999991,401.87127209996106,401.87176139996154,402.0818638000055
56,Success,405.09955829998944,405.0999697999796,405.10035229998175,405.3102555999649
57,Success,408.3275490999804,408.3280943999998,408.3284757999936,408.53983829997014
58,Break,411.5553311999538,411.5557712999871,411.5561502999626,412.7421550999861
