Trial,Status,Time_TrialStart,Time_DrawFinish,Time_GazeEnter,Time_End
1,Success,11.639066400006413,11.640536999912001,11.856733499909751,12.622519599972293
2,Success,15.14277699997183,15.143437699996866,15.293164899921976,16.076890599913895
3,Success,18.595778199960478,18.596610799897462,18.780346699990332,19.54708920000121
4,Success,22.066125299897976,22.06692779995501,22.067456399905495,22.850078299990855
5,Success,25.369651199900545,25.370289799990132,25.370783899910748,26.152982999919914
6,Success,28.67188629996963,28.67250789992977,28.67299309989903,29.4395120999543
7,Success,31.959617899963632,31.96015219995752,31.993121199891903,32.77712719992269
8,Success,35.29674529994372,35.297301699989475,35.297776799998246,36.079691399936564
9,Success,38.59958599996753,38.60019039991312,38.60066019999795,39.38298809994012
10,Success,41.90205169992987,41.90266439993866,42.13767510000616,42.91991699999198
11,Success,45.439938799943775,45.44050339993555,45.740102499956265,46.5078693999676
12,Break,49.02691179991234,49.02751459996216,49.160188999958336,49.87823739997111
13,Success,52.39676159992814,52.397326099919155,52.39785139996093,53.18023880000692
14,Success,55.69954529998358,55.70007189991884,55.900443699909374,56.66815719997976
15,Success,59.19533519994002,59.19594499992672,59.44658529991284,60.21255959989503
16,Success,62.73984329996165,62.74035699991509,62.824168099905364,63.608161699958146
17,Break,63.925160499988124,63.925782199949026,63.92661889991723,64.71069699991494
18,Break,71.0575295999879,71.05825259990525,71.05868639994878,71.99081459990703
19,Success,74.51003339991439,74.51057939999737,75.27913499996066,76.24593009997625
20,Break,78.76500829996075,78.76559739990626,78.76607079990208,79.73353409999982
21,Break,82.25190009991638,82.25255370000377,82.25303189991973,83.05238749994896
22,Success,85.57230269990396,85.57315929990727,85.72278279997408,86.69003009994049
23,Success,89.20914039993659,89.20967569993809,89.51019899989478,90.47703319997527
24,Break,93.00456769997254,93.00514749996364,93.00562109996099,93.8389743999578
25,Break,96.35788339993451,96.35850809991825,96.80920499993954,97.42559229990002
26,Break,99.94464269990567,99.94524129992351,100.26260379992891,101.24664009991102
27,Break,103.76543079991825,103.76601449993905,103.99975669989362,104.58238329994492
28,Break,107.1021665999433,107.10275580000598,107.55343709990848,108.38801869994495
29,Break,110.90579999994952,110.90639479993843,111.14077989989892,111.67335379996803
30,Break,114.19262079999316,114.19326189998537,114.47697969991714,115.17765219998546
31,Break,117.69597309990786,117.69684299989603,117.98057259991765,118.78016399999615
32,Break,121.30026109993923,121.30109959992114,121.71791329991538,122.3183577999007
33,Break,124.83753039990552,124.83834949997254,125.10343219991773,125.80392519989982
34,Success,128.32272309996188,128.32332749990746,128.69052189996,129.65860139997676
35,Success,132.17720589996316,132.1780258999206,132.31090949999634,133.2620454999851
36,Success,135.7804571999004,135.78112289996352,135.78162649995647,136.7651967999991
37,Success,139.2844167998992,139.28509789996315,139.28561319992878,140.2524468000047
38,Success,142.77060369995888,142.77122209989466,142.77168549993075,143.75578749994747
39,Success,146.27490169997327,146.27552399993874,146.54269479995128,147.50990389997605
40,Break,150.02932539989706,150.02986339991912,150.03033739991952,150.7130675999215
41,Success,153.23191299999598,153.2325659999624,153.23305019992404,154.21633159997873
42,Success,156.73587400000542,156.73648419999518,156.92019390000496,157.90277379995678
43,Success,160.4225471999962,160.42303529998753,160.540380399907,161.50716039992403
44,Break,164.02627089992166,164.02684069995303,164.02763059991412,164.71007079991978
45,Break,167.22955899999943,167.23013879999053,168.0135846999474,168.66428839997388
46,Break,171.1827952999156,171.18335629999638,171.45030039991252,172.15092479996383
47,Break,174.66955449990928,174.67019649990834,175.00395139993634,175.5880033998983
48,Break,178.10701629996765,178.10790869989432,178.3407298999373,179.2758109999122
49,Break,181.79343629989307,181.79403509991243,182.47927869996056,183.02967479999643
50,Break,185.5482817000011,185.5488769999938,185.7816796998959,186.51553579990286
51,Success,189.03480569995008,189.0353163999971,189.35251889994834,190.3198925999459
52,Break,192.8390765999211,192.83959719992708,192.84008369990624,193.69072699989192
53,Success,196.20886269991752,196.20938319992274,197.11069000000134,198.07724129990675
54,Success,200.59640179993585,200.59696839994285,200.59746999992058,201.5803120000055
55,Success,203.90124859998468,203.90202279994264,204.06766790000256,205.03372329997364
56,Break,211.10728259989992,211.10841729992535,211.32442219997756,211.92509729997255
57,Break,214.94377519993577,214.94433819991536,215.1953980999533,216.08028779993765
58,Break,219.09868890000507,219.09917619999032,219.48319939989597,220.1330548999831
59,Break,221.2675705999136,221.2683689999394,221.48440789990127,222.23555859993212
60,Success,228.10855729994364,228.10949699999765,228.35921449994203,229.24220269999932
61,Break,232.26214339991566,232.2627184999874,232.26322279998567,233.14600109995808
62,Break,236.16568419989198,236.16664599999785,236.4672847999027,237.10082779999357
63,Success,240.12017259991262,240.12080559995957,240.40338349994272,241.2703231999185
64,Success,244.29034339997452,244.29093789996114,244.54097509989515,245.4085844999645
