Trial,Condition,Status,Time_TrialStart,Time_DrawFinish,Time_GazeEnter,Time_End
1,Right,Success,16.13682369980961,16.14132079994306,17.338344499934465,18.65823319996707
2,Down,Success,21.688269599806517,21.691481299931183,23.554802399827167,24.873852299991995
3,Left,Success,27.903265399858356,27.906017299974337,27.9071942998562,29.224106799811125
4,Up,Success,32.25246290001087,32.255004699807614,32.25638749985956,33.57454769988544
