Trial,Status,Time_TrialStart,Time_DrawFinish,Time_GazeEnter,Time_End
1,Success,18.84029590000864,18.842840900062583,19.193227300071158,20.958823700086214
2,Success,23.978823500103317,23.980272600078024,23.98121210001409,25.748429300030693
3,Success,28.766658200067468,28.767619700054638,28.768322000047192,30.552639800007455
4,Success,33.571262200013734,33.572182600037195,33.57289270008914,35.34054320002906
5,Success,38.360503400093876,38.361958499997854,38.36283040000126,40.14551850000862
6,Success,43.1649316000985,43.166202699998394,43.166956200031564,44.95127400010824
