event_type,fields
SFIX,R 186560533
EFIX,R 186560533 186561006 474 1735.1 1712.5 2813
SSACC,R 186561007
ESACC,R 186561007 186561040 34 1737.0 1707.8 1450.8 1186.2 8.89 585
SFIX,R 186561041
EFIX,R 186561041 186561220 180 1443.3 1157.8 3070
SSACC,R 186561221
ESACC,R 186561221 186561243 23 1443.5 1155.9 1567.3 1166.1 1.99 159
SFIX,R 186561244
EFIX,R 186561244 186561716 473 1584.8 1161.9 3045
SSACC,R 186561717
ESACC,R 186561717 186561737 21 1585.9 1159.5 1617.9 1065.5 1.56 117
SFIX,R 186561738
EFIX,R 186561738 186563090 1353 1604.9 1039.5 3021
SSACC,R 186563091
ESACC,R 186563091 186563114 24 1604.2 1039.3 1689.1 1099.7 1.65 111
SFIX,R 186563115
EFIX,R 186563115 186563147 33 1736.8 1138.0 2903
SSACC,R 186563148
SBLINK,R 186563163
EBLINK,R 186563163 186563402 240
ESACC,R 186563148 186563456 309 1766.2 1167.7 1422.6 1008.8 6.01 409
SFIX,R 186563457
EFIX,R 186563457 186564328 872 1401.4 1053.3 2925
SSACC,R 186564329
ESACC,R 186564329 186564359 31 1400.8 1047.2 1179.6 1202.7 4.36 271
SFIX,R 186564360
EFIX,R 186564360 186564624 265 1119.1 1221.6 3200
SSACC,R 186564625
ESACC,R 186564625 186564646 22 1115.2 1219.5 1165.7 1178.8 1.04 69
SFIX,R 186564647
EFIX,R 186564647 186564967 321 1203.2 1150.7 3140
SSACC,R 186564968
ESACC,R 186564968 186564995 28 1204.3 1150.3 1489.7 1206.5 4.69 339
SFIX,R 186564996
EFIX,R 186564996 186565501 506 1498.1 1204.7 3187
SSACC,R 186565502
ESACC,R 186565502 186565520 19 1496.7 1205.0 1452.5 1138.9 1.25 116
SFIX,R 186565521
EFIX,R 186565521 186566159 639 1451.4 1140.8 3172
SSACC,R 186566160
ESACC,R 186566160 186566220 61 1450.9 1141.7 1927.4 879.6 8.58 211
SFIX,R 186566221
EFIX,R 186566221 186566588 368 1965.2 880.2 2510
SSACC,R 186566589
ESACC,R 186566589 186566614 26 1970.0 879.6 1920.2 1060.1 2.93 201
SFIX,R 186566615
EFIX,R 186566615 186567127 513 1917.9 1058.2 2747
SSACC,R 186567128
ESACC,R 186567128 186567169 42 1916.5 1056.6 2149.0 1206.4 4.17 159
SFIX,R 186567170
EFIX,R 186567170 186567599 430 2213.0 1279.9 2588
SSACC,R 186567600
ESACC,R 186567600 186567647 48 2213.1 1286.6 1675.3 1202.8 8.17 310
SFIX,R 186567648
EFIX,R 186567648 186567865 218 1659.7 1199.6 2908
SSACC,R 186567866
SBLINK,R 186567943
EBLINK,R 186567943 186568165 223
ESACC,R 186567866 186568224 359 1657.6 1201.6 2422.1 1118.7 11.37 357
SFIX,R 186568225
EFIX,R 186568225 186568312 88 2442.7 996.6 2291
SSACC,R 186568313
ESACC,R 186568313 186568423 111 2447.2 955.5 2364.2 490.3 7.25 218
SFIX,R 186568424
EFIX,R 186568424 186568548 125 2362.6 528.4 2256
SSACC,R 186568549
ESACC,R 186568549 186568603 55 2361.6 540.2 2154.3 -30.3 9.57 284
SFIX,R 186568604
EFIX,R 186568604 186568844 241 2121.2 -52.1 2423
SSACC,R 186568845
ESACC,R 186568845 186568901 57 2118.1 -59.7 794.5 219.0 21.74 712
SFIX,R 186568902
EFIX,R 186568902 186569650 749 761.8 222.2 2396
SSACC,R 186569651
ESACC,R 186569651 186569681 31 744.3 220.9 1086.5 434.2 6.86 461
SFIX,R 186569682
EFIX,R 186569682 186570943 1262 1067.1 439.7 2447
SSACC,R 186570944
ESACC,R 186570944 186571030 87 1065.6 439.3 264.9 1706.1 23.33 428
SFIX,R 186571031
EFIX,R 186571031 186571589 559 263.3 1716.1 2597
SSACC,R 186571590
ESACC,R 186571590 186571659 70 304.5 1650.3 -504.4 982.2 15.32 421
SFIX,R 186571660
EFIX,R 186571660 186571725 66 -494.0 977.4 2913
SSACC,R 186571726
ESACC,R 186571726 186571741 16 -483.6 945.0 -470.2 899.1 0.72 101
SFIX,R 186571742
EFIX,R 186571742 186571801 60 -462.2 912.3 3009
SSACC,R 186571802
SBLINK,R 186572081
EBLINK,R 186572081 186572118 38
ESACC,R 186571802 186572165 364 -445.6 897.2 -277.3 114.1 12.52 594
SFIX,R 186572166
EFIX,R 186572166 186572194 29 -272.1 105.2 1792
SSACC,R 186572195
SBLINK,R 186572282
EBLINK,R 186572282 186572400 119
ESACC,R 186572195 186572540 346 -281.4 113.6 -44.3 722.5 10.44 1076
SFIX,R 186572541
EFIX,R 186572541 186572874 334 -73.3 753.2 3579
SSACC,R 186572875
ESACC,R 186572875 186572891 17 -50.5 744.7 -28.9 694.6 0.87 91
SFIX,R 186572892
EFIX,R 186572892 186572974 83 -15.6 696.0 3536
SSACC,R 186572975
ESACC,R 186572975 186572984 10 -19.1 701.6 -41.9 745.8 0.79 88
SFIX,R 186572985
EFIX,R 186572985 186573020 36 -40.5 756.4 3647
SSACC,R 186573021
SBLINK,R 186573255
EBLINK,R 186573255 186573462 208
ESACC,R 186573021 186573479 459 -41.8 759.2 726.0 234.5 15.17 379
SFIX,R 186573480
EFIX,R 186573480 186573529 50 719.5 197.7 3432
SSACC,R 186573530
SBLINK,R 186573549
EBLINK,R 186573549 186573897 349
ESACC,R 186573530 186573906 377 720.2 201.5 724.8 228.2 0.46 69
SFIX,R 186573907
EFIX,R 186573907 186574199 293 728.1 178.6 3346
SSACC,R 186574200
ESACC,R 186574200 186574210 11 734.9 210.4 746.3 246.0 0.64 69
SFIX,R 186574211
EFIX,R 186574211 186574239 29 748.3 261.3 3457
SSACC,R 186574240
SBLINK,R 186574250
EBLINK,R 186574250 186574562 313
ESACC,R 186574240 186574610 371 234.7 -498.1 125.0 -775.7 4.70 220
SFIX,R 186574611
EFIX,R 186574611 186574778 168 81.5 -894.8 2612
SSACC,R 186574779
SBLINK,R 186574854
EBLINK,R 186574854 186575045 192
ESACC,R 186574779 186575096 318 67.8 -943.0 1140.7 878.9 33.24 1169
SFIX,R 186575097
EFIX,R 186575097 186575716 620 1126.5 893.6 3594
SSACC,R 186575717
SBLINK,R 186575727
EBLINK,R 186575727 186575812 86
ESACC,R 186575717 186575821 105 67.8 -943.0 1140.7 878.9 34.60 0
SFIX,R 186575822
EFIX,R 186575822 186575843 22 1138.1 896.7 3619
SSACC,R 186575844
SBLINK,R 186575854
EBLINK,R 186575854 186575965 112
ESACC,R 186575844 186575974 131 67.8 -943.0 1140.7 878.9 34.80 0
SFIX,R 186575975
EFIX,R 186575975 186575995 21 1157.4 915.7 3451
SSACC,R 186575996
SBLINK,R 186576006
EBLINK,R 186576006 186576373 368
ESACC,R 186575996 186576439 444 1217.0 1636.9 1131.4 868.7 11.91 347
SFIX,R 186576440
EFIX,R 186576440 186576567 128 1111.0 895.8 3637
SSACC,R 186576568
SBLINK,R 186576592
EBLINK,R 186576592 186577133 542
ESACC,R 186576568 186577142 575 1090.9 919.4 1554.7 1270.8 9.35 688
SFIX,R 186577143
EFIX,R 186577143 186577181 39 1525.9 1122.9 3866
SSACC,R 186577182
ESACC,R 186577182 186577260 79 1515.9 1106.0 1089.9 780.1 8.76 187
SFIX,R 186577261
EFIX,R 186577261 186577547 287 1078.1 762.5 3730
SSACC,R 186577548
ESACC,R 186577548 186577610 63 1072.1 788.5 1612.1 977.2 9.37 262
SFIX,R 186577611
EFIX,R 186577611 186578048 438 1622.7 1016.8 3418
SSACC,R 186578049
ESACC,R 186578049 186578095 47 1630.7 1039.4 1860.1 769.6 5.64 266
SFIX,R 186578096
EFIX,R 186578096 186578240 145 1858.7 800.3 3051
SSACC,R 186578241
SBLINK,R 186578251
EBLINK,R 186578251 186578284 34
ESACC,R 186578241 186578293 53 1858.4 812.2 1858.6 817.3 0.08 9
SFIX,R 186578294
EFIX,R 186578294 186579032 739 1863.3 821.8 3053
SSACC,R 186579033
SBLINK,R 186579073
EBLINK,R 186579073 186579257 185
ESACC,R 186579033 186579266 234 1858.1 829.8 1578.0 1074.0 5.90 439
SFIX,R 186579267
EFIX,R 186579267 186579318 52 1535.0 1151.9 3049
SSACC,R 186579319
ESACC,R 186579319 186579337 19 1537.7 1153.3 1578.6 1101.0 1.05 104
SFIX,R 186579338
EFIX,R 186579338 186579570 233 1569.9 1096.7 3068
SSACC,R 186579571
SBLINK,R 186579586
EBLINK,R 186579586 186579758 173
ESACC,R 186579571 186579799 229 1568.8 1094.8 1565.7 389.1 11.49 882
SFIX,R 186579800
EFIX,R 186579800 186580588 789 1524.5 452.0 2748
SSACC,R 186580589
ESACC,R 186580589 186580642 54 1515.2 452.4 1292.9 -6.2 8.60 290
SFIX,R 186580643
EFIX,R 186580643 186581472 830 1277.3 -15.6 2756
SSACC,R 186581473
ESACC,R 186581473 186581566 94 1282.4 -20.3 658.6 184.0 11.10 194
SFIX,R 186581567
EFIX,R 186581567 186582354 788 628.5 199.7 2577
SSACC,R 186582355
SBLINK,R 186582365
EBLINK,R 186582365 186582550 186
ESACC,R 186582355 186582582 228 766.0 290.2 1443.7 777.6 13.98 541
SFIX,R 186582583
EFIX,R 186582583 186583312 730 1420.7 815.5 2542
SSACC,R 186583313
ESACC,R 186583313 186583370 58 1418.6 803.3 1831.9 767.2 6.69 193
SFIX,R 186583371
EFIX,R 186583371 186583620 250 1831.2 765.6 2517
SSACC,R 186583621
ESACC,R 186583621 186583678 58 1831.2 760.4 2214.8 232.3 10.35 279
SFIX,R 186583679
EFIX,R 186583679 186584037 359 2208.0 189.7 2457
SSACC,R 186584038
ESACC,R 186584038 186584124 87 2206.4 188.8 1460.2 1303.3 20.94 416
SFIX,R 186584125
EFIX,R 186584125 186584227 103 1457.1 1304.4 3139
SSACC,R 186584228
SBLINK,R 186584264
EBLINK,R 186584264 186584435 172
ESACC,R 186584228 186584491 264 1460.1 1322.8 413.4 795.6 18.81 683
SFIX,R 186584492
EFIX,R 186584492 186585370 879 417.2 774.1 3832
SSACC,R 186585371
ESACC,R 186585371 186585438 68 436.4 775.9 1231.1 951.4 13.40 300
SFIX,R 186585439
EFIX,R 186585439 186585694 256 1247.3 940.8 3868
SSACC,R 186585695
ESACC,R 186585695 186585718 24 1242.9 924.4 1250.5 894.4 0.51 85
SFIX,R 186585719
EFIX,R 186585719 186585849 131 1256.1 866.8 4015
SSACC,R 186585850
SBLINK,R 186585886
EBLINK,R 186585886 186586392 507
ESACC,R 186585850 186586418 569 1304.7 877.4 165.0 1257.5 19.17 943
SFIX,R 186586419
EFIX,R 186586419 186586447 29 161.0 1265.4 3824
SSACC,R 186586448
ESACC,R 186586448 186586503 56 158.8 1280.8 229.9 1139.7 2.44 145
SFIX,R 186586504
EFIX,R 186586504 186586652 149 205.9 1160.8 4055
SSACC,R 186586653
SBLINK,R 186586971
EBLINK,R 186586971 186587320 350
ESACC,R 186586653 186587438 786 197.2 1169.0 329.0 659.4 8.42 1352
SFIX,R 186587439
EFIX,R 186587439 186587474 36 325.9 646.4 1036
SSACC,R 186587475
SBLINK,R 186587555
EBLINK,R 186587555 186589596 2042
ESACC,R 186587475 186589684 2210 338.7 644.1 722.2 638.0 6.36 466
SFIX,R 186589685
EFIX,R 186589685 186589910 226 722.1 618.9 2703
SSACC,R 186589911
ESACC,R 186589911 186589954 44 715.4 637.4 760.9 122.0 8.78 566
SFIX,R 186589955
EFIX,R 186589955 186590827 873 754.1 146.1 2588
SSACC,R 186590828
ESACC,R 186590828 186590891 64 749.1 142.3 -39.0 103.8 12.85 339
SFIX,R 186590892
EFIX,R 186590892 186591877 986 -23.5 98.8 2598
SSACC,R 186591878
SBLINK,R 186591904
EBLINK,R 186591904 186592252 349
ESACC,R 186591878 186592324 447 -13.9 117.3 539.1 546.9 11.46 1481
SFIX,R 186592325
EFIX,R 186592325 186592387 63 587.1 488.4 2969
SSACC,R 186592388
SBLINK,R 186592401
EBLINK,R 186592401 186592529 129
ESACC,R 186592388 186592558 171 625.5 433.3 593.4 480.4 0.96 56
SFIX,R 186592559
EFIX,R 186592559 186592902 344 552.6 533.8 2989
SSACC,R 186592903
ESACC,R 186592903 186592914 12 528.9 549.4 539.1 570.1 0.39 80
SFIX,R 186592915
EFIX,R 186592915 186593050 136 534.5 566.9 2950
SSACC,R 186593051
ESACC,R 186593051 186593122 72 529.1 564.0 665.6 671.2 2.91 220
SFIX,R 186593123
EFIX,R 186593123 186593448 326 656.9 694.6 3004
SSACC,R 186593449
ESACC,R 186593449 186593455 7 648.1 682.6 658.6 713.0 0.54 68
SFIX,R 186593456
EFIX,R 186593456 186593560 105 657.3 708.6 3036
SSACC,R 186593561
ESACC,R 186593561 186593674 114 659.6 702.7 497.1 621.1 3.03 110
SFIX,R 186593675
EFIX,R 186593675 186593793 119 480.8 666.9 2649
SSACC,R 186593794
ESACC,R 186593794 186594201 408 470.4 710.2 -66.3 515.4 9.17 372
SFIX,R 186594202
EFIX,R 186594202 186594238 37 -69.9 508.7 2458
SSACC,R 186594239
ESACC,R 186594239 186594453 215 -58.9 511.6 734.7 134.3 14.34 627
SFIX,R 186594454
EFIX,R 186594454 186594588 135 724.4 132.7 3073
SSACC,R 186594589
ESACC,R 186594589 186594603 15 724.0 136.8 773.4 154.9 0.89 92
SFIX,R 186594604
EFIX,R 186594604 186594837 234 763.1 159.1 2646
SSACC,R 186594838
ESACC,R 186594838 186594847 10 754.6 159.4 723.8 164.1 0.53 64
SFIX,R 186594848
EFIX,R 186594848 186595070 223 737.4 180.0 2678
SSACC,R 186595071
ESACC,R 186595071 186595077 7 740.3 184.2 757.2 170.4 0.37 54
SFIX,R 186595078
EFIX,R 186595078 186595324 247 764.3 167.6 2870
SSACC,R 186595325
ESACC,R 186595325 186595335 11 781.1 175.4 784.2 214.5 0.67 64
SFIX,R 186595336
EFIX,R 186595336 186595450 115 799.5 242.4 3126
SSACC,R 186595451
ESACC,R 186595451 186595501 51 788.8 243.0 -36.7 -150.0 14.95 541
SFIX,R 186595502
EFIX,R 186595502 186596655 1154 -93.5 -54.8 2812
SSACC,R 186596656
SBLINK,R 186596710
EBLINK,R 186596710 186596776 67
ESACC,R 186596656 186596823 168 -99.6 -59.1 910.2 911.6 22.69 1580
SFIX,R 186596824
EFIX,R 186596824 186596851 28 903.6 938.1 3563
SSACC,R 186596852
ESACC,R 186596852 186596983 132 902.3 966.9 889.1 958.7 0.26 396
SFIX,R 186596984
EFIX,R 186596984 186597118 135 878.3 971.8 3371
SSACC,R 186597119
ESACC,R 186597119 186597175 57 885.6 992.3 1585.4 1050.8 11.44 569
SFIX,R 186597176
EFIX,R 186597176 186597217 42 1586.5 1038.5 3434
SSACC,R 186597218
ESACC,R 186597218 186597227 10 1583.2 1042.2 1571.6 1087.9 0.75 86
SFIX,R 186597228
EFIX,R 186597228 186597504 277 1569.1 1152.7 3336
SSACC,R 186597505
SBLINK,R 186597521
EBLINK,R 186597521 186597668 148
ESACC,R 186597505 186597738 234 1572.8 1140.6 1670.7 618.2 8.55 512
SFIX,R 186597739
EFIX,R 186597739 186598051 313 1659.9 701.5 2978
SSACC,R 186598052
ESACC,R 186598052 186598078 27 1665.1 715.9 1830.9 699.7 2.66 170
SFIX,R 186598079
EFIX,R 186598079 186598785 707 1890.5 686.8 2962
SSACC,R 186598786
SBLINK,R 186599015
EBLINK,R 186599015 186599031 17
ESACC,R 186598786 186599115 330 1871.6 647.1 1828.0 1461.2 12.57 336
SFIX,R 186599116
EFIX,R 186599116 186599137 22 1830.0 1458.5 3786
SSACC,R 186599138
ESACC,R 186599138 186599213 76 1833.7 1458.8 1786.7 1288.7 2.63 136
SFIX,R 186599214
EFIX,R 186599214 186599371 158 1780.7 1238.2 3639
SSACC,R 186599372
ESACC,R 186599372 186599461 90 1789.1 1275.9 1594.1 1148.6 3.62 248
SFIX,R 186599462
EFIX,R 186599462 186599827 366 1579.9 1161.6 3490
SSACC,R 186599828
ESACC,R 186599828 186599914 87 1579.6 1194.1 1576.6 1220.4 0.41 86
SFIX,R 186599915
EFIX,R 186599915 186599947 33 1577.3 1224.7 3978
SSACC,R 186599948
ESACC,R 186599948 186600161 214 1578.2 1220.0 1906.2 1083.9 5.52 228
SFIX,R 186600162
EFIX,R 186600162 186600194 33 1905.3 1080.8 3561
SSACC,R 186600195
ESACC,R 186600195 186600220 26 1909.3 1066.5 1902.1 1096.3 0.48 55
SFIX,R 186600221
EFIX,R 186600221 186600248 28 1903.9 1091.0 3559
SSACC,R 186600249
ESACC,R 186600249 186600494 246 1901.0 1089.3 1903.6 1094.1 0.08 111
SFIX,R 186600495
EFIX,R 186600495 186600524 30 1906.2 1099.8 3532
SSACC,R 186600525
ESACC,R 186600525 186600701 177 1911.0 1093.1 1920.9 954.4 2.17 152
SFIX,R 186600702
EFIX,R 186600702 186601342 641 1923.9 932.5 2948
SSACC,R 186601343
ESACC,R 186601343 186601380 38 1927.6 929.5 1561.7 1165.9 6.83 417
SFIX,R 186601381
EFIX,R 186601381 186601984 604 1545.4 1157.2 3398
SSACC,R 186601985
ESACC,R 186601985 186602011 27 1528.5 1179.8 1526.5 1180.7 0.03 72
SFIX,R 186602012
EFIX,R 186602012 186602354 343 1523.3 1150.3 3413
SSACC,R 186602355
SBLINK,R 186602388
EBLINK,R 186602388 186602623 236
ESACC,R 186602355 186602882 528 1520.9 1154.2 1755.5 1488.4 6.24 167
SFIX,R 186602883
EFIX,R 186602883 186602936 54 1751.3 1498.5 3402
SSACC,R 186602937
ESACC,R 186602937 186602971 35 1747.2 1504.8 1752.3 1610.4 1.53 107
SFIX,R 186602972
EFIX,R 186602972 186602987 16 1750.7 1596.7 3711
SSACC,R 186602988
ESACC,R 186602988 186603014 27 1749.0 1573.9 1742.1 1435.5 2.02 211
SFIX,R 186603015
EFIX,R 186603015 186603445 431 1742.4 1394.4 3300
SSACC,R 186603446
ESACC,R 186603446 186603496 51 1734.5 1388.8 1506.4 1201.1 4.57 164
SFIX,R 186603497
EFIX,R 186603497 186603761 265 1497.0 1201.9 3889
SSACC,R 186603762
ESACC,R 186603762 186603846 85 1495.3 1191.9 407.6 772.2 18.83 325
SFIX,R 186603847
EFIX,R 186603847 186604258 412 376.5 794.2 3684
SSACC,R 186604259
SBLINK,R 186604356
EBLINK,R 186604356 186605082 727
ESACC,R 186604259 186605091 833 394.7 818.1 839.4 778.0 7.39 429
SFIX,R 186605092
EFIX,R 186605092 186605186 95 1393.5 870.3 3888
SSACC,R 186605187
SBLINK,R 186605382
EBLINK,R 186605382 186605805 424
ESACC,R 186605187 186606148 962 1400.5 890.5 1012.3 735.5 6.94 3270
SFIX,R 186606149
EFIX,R 186606149 186606374 226 1017.6 722.6 4257
SSACC,R 186606375
SBLINK,R 186606526
EBLINK,R 186606526 186606987 462
ESACC,R 186606375 186606996 622 1022.0 706.7 1566.5 76.4 13.96 2291
SFIX,R 186606997
EFIX,R 186606997 186607449 453 1371.7 1065.2 3310
SSACC,R 186607450
ESACC,R 186607450 186607471 22 1359.1 1047.6 1481.3 1126.6 2.34 198
SFIX,R 186607472
EFIX,R 186607472 186608234 763 1487.7 1113.5 3550
SSACC,R 186608235
SBLINK,R 186608269
EBLINK,R 186608269 186608402 134
ESACC,R 186608235 186608473 239 1482.2 1117.5 1796.4 1114.9 4.97 376
SFIX,R 186608474
EFIX,R 186608474 186609004 531 1783.9 1117.1 3137
SSACC,R 186609005
ESACC,R 186609005 186609050 46 1786.7 1136.8 1504.9 1008.1 4.90 178
SFIX,R 186609051
EFIX,R 186609051 186609379 329 1481.1 1068.9 3370
SSACC,R 186609380
ESACC,R 186609380 186609395 16 1481.0 1072.2 1509.5 1125.4 0.96 86
SFIX,R 186609396
EFIX,R 186609396 186609687 292 1509.6 1138.8 3319
SSACC,R 186609688
ESACC,R 186609688 186609696 9 1515.4 1140.6 1536.4 1121.7 0.45 55
SFIX,R 186609697
EFIX,R 186609697 186610879 1183 1556.8 1125.2 3166
SSACC,R 186610880
ESACC,R 186610880 186610889 10 1557.7 1123.8 1535.0 1139.7 0.44 53
SFIX,R 186610890
EFIX,R 186610890 186611584 695 1518.2 1161.3 3117
SSACC,R 186611585
SBLINK,R 186611601
EBLINK,R 186611601 186611971 371
ESACC,R 186611585 186612088 504 1516.7 1172.8 1643.5 1140.8 2.07 255
SFIX,R 186612089
EFIX,R 186612089 186612376 288 1632.1 1179.5 2638
SSACC,R 186612377
ESACC,R 186612377 186612394 18 1631.1 1177.2 1645.4 1100.4 1.22 87
SFIX,R 186612395
EFIX,R 186612395 186613432 1038 1633.1 1080.3 3207
SSACC,R 186613433
ESACC,R 186613433 186613512 80 1605.0 1065.3 527.6 1248.5 17.46 393
SFIX,R 186613513
EFIX,R 186613513 186614220 708 519.0 1219.5 3964
SSACC,R 186614221
SBLINK,R 186614394
EBLINK,R 186614394 186615463 1070
ESACC,R 186614221 186615593 1373 520.0 1201.2 311.1 887.0 6.02 252
SFIX,R 186615594
EFIX,R 186615594 186615615 22 314.1 886.0 3771
SSACC,R 186615616
ESACC,R 186615616 186615622 7 316.1 877.1 316.6 851.3 0.42 66
SFIX,R 186615623
EFIX,R 186615623 186615662 40 322.5 834.6 3633
SSACC,R 186615663
ESACC,R 186615663 186615861 199 332.8 830.1 427.7 539.2 5.06 122
SFIX,R 186615862
EFIX,R 186615862 186615905 44 439.3 531.2 3030
SSACC,R 186615906
ESACC,R 186615906 186615912 7 451.8 523.3 455.9 507.8 0.27 51
SFIX,R 186615913
EFIX,R 186615913 186616056 144 473.2 488.5 2781
SSACC,R 186616057
ESACC,R 186616057 186616104 48 462.9 473.8 438.2 526.9 0.98 92
SFIX,R 186616105
EFIX,R 186616105 186616157 53 441.7 523.0 2773
SSACC,R 186616158
ESACC,R 186616158 186616226 69 436.5 507.0 328.8 110.7 6.91 325
SFIX,R 186616227
EFIX,R 186616227 186616465 239 326.0 109.4 2849
SSACC,R 186616466
ESACC,R 186616466 186616497 32 318.4 108.1 761.8 176.0 7.50 512
SFIX,R 186616498
EFIX,R 186616498 186617175 678 764.5 168.4 2682
SSACC,R 186617176
ESACC,R 186617176 186617196 21 763.0 166.2 873.6 161.2 1.88 171
SFIX,R 186617197
EFIX,R 186617197 186617826 630 869.4 198.9 2796
SSACC,R 186617827
ESACC,R 186617827 186617893 67 879.4 253.7 869.6 924.1 11.24 250
SFIX,R 186617894
EFIX,R 186617894 186618326 433 865.9 936.7 3221
SSACC,R 186618327
SBLINK,R 186618344
EBLINK,R 186618344 186618470 127
ESACC,R 186618327 186618539 213 864.6 956.6 1555.3 1119.0 11.55 323
SFIX,R 186618540
EFIX,R 186618540 186618863 324 1560.8 1125.6 3261
SSACC,R 186618864
ESACC,R 186618864 186618935 72 1561.4 1169.1 965.8 564.2 13.86 287
SFIX,R 186618936
EFIX,R 186618936 186619436 501 924.7 571.0 3336
SSACC,R 186619437
ESACC,R 186619437 186619480 44 914.9 596.6 1016.5 176.6 7.36 329
SFIX,R 186619481
EFIX,R 186619481 186620306 826 1007.4 141.5 2865
SSACC,R 186620307
ESACC,R 186620307 186620355 49 1017.3 149.7 949.7 707.3 9.53 362
SFIX,R 186620356
EFIX,R 186620356 186620681 326 936.7 754.9 2912
SSACC,R 186620682
ESACC,R 186620682 186620727 46 928.9 760.2 777.7 224.5 9.41 408
SFIX,R 186620728
EFIX,R 186620728 186620853 126 776.9 224.0 2594
SSACC,R 186620854
ESACC,R 186620854 186620859 6 783.1 222.2 797.3 221.2 0.24 41
SFIX,R 186620860
EFIX,R 186620860 186621293 434 793.1 215.5 2595
SSACC,R 186621294
ESACC,R 186621294 186621322 29 788.5 212.1 1003.9 417.6 5.08 350
SFIX,R 186621323
EFIX,R 186621323 186622585 1263 1000.7 440.4 2645
SSACC,R 186622586
SBLINK,R 186622606
EBLINK,R 186622606 186622736 131
ESACC,R 186622586 186622780 195 996.5 470.3 1106.8 1010.1 9.15 809
SFIX,R 186622781
EFIX,R 186622781 186624928 2148 1105.1 989.5 2972
SSACC,R 186624929
ESACC,R 186624929 186624969 41 1097.1 949.6 789.5 239.0 12.95 582
SFIX,R 186624970
EFIX,R 186624970 186625199 230 788.9 220.6 3198
SSACC,R 186625200
ESACC,R 186625200 186625206 7 787.2 196.8 771.3 186.0 0.33 47
SFIX,R 186625207
EFIX,R 186625207 186625416 210 762.4 206.7 3076
SSACC,R 186625417
ESACC,R 186625417 186625425 9 762.8 209.4 780.9 185.1 0.52 62
SFIX,R 186625426
EFIX,R 186625426 186625928 503 788.1 213.2 3099
SSACC,R 186625929
ESACC,R 186625929 186625955 27 796.0 244.8 812.3 469.2 3.84 292
SFIX,R 186625956
EFIX,R 186625956 186627183 1228 790.0 474.6 2863
SSACC,R 186627184
ESACC,R 186627184 186627257 74 788.3 491.9 1493.9 1302.4 17.44 447
SFIX,R 186627258
EFIX,R 186627258 186627932 675 1510.1 1277.3 3175
SSACC,R 186627933
ESACC,R 186627933 186627956 24 1509.7 1260.6 1474.2 1113.7 2.36 212
SFIX,R 186627957
EFIX,R 186627957 186628537 581 1474.8 1126.7 3357
SSACC,R 186628538
SBLINK,R 186628575
EBLINK,R 186628575 186628829 255
ESACC,R 186628538 186628900 363 1481.1 1129.3 1606.0 1130.1 1.99 493
SFIX,R 186628901
EFIX,R 186628901 186629676 776 1589.1 1151.0 2968
SSACC,R 186629677
ESACC,R 186629677 186629694 18 1585.7 1139.4 1501.6 1146.9 1.35 115
SFIX,R 186629695
EFIX,R 186629695 186631080 1386 1494.4 1153.7 3134
SSACC,R 186631081
ESACC,R 186631081 186631101 21 1500.5 1155.2 1586.6 1157.2 1.37 83
SFIX,R 186631102
EFIX,R 186631102 186633251 2150 1709.5 1177.6 2933
SSACC,R 186633252
ESACC,R 186633252 186633331 80 1707.7 1177.3 906.1 397.4 18.20 425
SFIX,R 186633332
EFIX,R 186633332 186633791 460 892.1 387.0 2893
SSACC,R 186633792
ESACC,R 186633792 186633865 74 878.3 360.2 267.3 965.2 14.19 273
SFIX,R 186633866
EFIX,R 186633866 186634156 291 262.1 951.8 3293
SSACC,R 186634157
ESACC,R 186634157 186634249 93 268.0 936.1 439.2 642.5 5.55 153
SFIX,R 186634250
EFIX,R 186634250 186634279 30 435.8 601.8 3091
SSACC,R 186634280
ESACC,R 186634280 186634400 121 433.7 577.0 261.6 1059.6 8.33 163
SFIX,R 186634401
EFIX,R 186634401 186634462 62 260.4 1042.9 3940
SSACC,R 186634463
ESACC,R 186634463 186634467 5 255.7 1021.6 255.6 992.4 0.46 62
SFIX,R 186634468
EFIX,R 186634468 186634527 60 257.5 984.7 3764
SSACC,R 186634528
ESACC,R 186634528 186634745 218 260.3 1002.7 485.3 489.1 9.18 245
SFIX,R 186634746
EFIX,R 186634746 186634808 63 508.4 431.0 2795
SSACC,R 186634809
ESACC,R 186634809 186634825 17 517.4 419.2 515.6 448.2 0.49 98
SFIX,R 186634826
EFIX,R 186634826 186634913 88 520.2 447.1 2722
SSACC,R 186634914
ESACC,R 186634914 186635120 207 539.5 434.6 296.0 931.8 9.12 279
SFIX,R 186635121
EFIX,R 186635121 186635249 129 318.9 878.7 3623
SSACC,R 186635250
ESACC,R 186635250 186635302 53 338.1 846.8 324.5 895.1 0.81 71
SFIX,R 186635303
EFIX,R 186635303 186635522 220 329.6 863.8 3604
SSACC,R 186635523
ESACC,R 186635523 186635533 11 334.8 841.1 317.7 881.9 0.72 78
SFIX,R 186635534
EFIX,R 186635534 186635849 316 252.7 991.7 3405
SSACC,R 186635850
ESACC,R 186635850 186635918 69 248.8 1029.9 517.8 1379.8 6.90 146
SFIX,R 186635919
EFIX,R 186635919 186636017 99 513.8 1382.2 3500
SSACC,R 186636018
ESACC,R 186636018 186636062 45 517.0 1383.2 1313.8 1297.7 12.75 509
SFIX,R 186636063
