event_type,fields
EFIX,R 186240856 186241162 307 2358.9 1269.4 2641
SSACC,R 186241163
ESACC,R 186241163 186241220 58 2353.2 1246.9 1883.5 1825.4 10.54 418
SFIX,R 186241221
EFIX,R 186241221 186241368 148 1875.0 1817.9 2772
SSACC,R 186241369
ESACC,R 186241369 186241403 35 1875.1 1808.9 1570.6 1937.6 4.77 285
SFIX,R 186241404
EFIX,R 186241404 186241644 241 1557.9 1924.4 3008
SSACC,R 186241645
SBLINK,R 186241659
EBLINK,R 186241659 186241862 204
ESACC,R 186241645 186241903 259 1556.2 1920.2 1558.3 1291.8 9.00 533
SFIX,R 186241904
EFIX,R 186241904 186242048 145 1557.5 1294.7 2971
SSACC,R 186242049
ESACC,R 186242049 186242073 25 1558.9 1295.5 1686.3 1335.0 2.08 162
SFIX,R 186242074
EFIX,R 186242074 186242280 207 1685.4 1329.1 2932
SSACC,R 186242281
ESACC,R 186242281 186242324 44 1688.2 1326.5 1967.0 1051.9 6.00 223
SFIX,R 186242325
EFIX,R 186242325 186243224 900 1988.7 1025.2 2721
SSACC,R 186243225
ESACC,R 186243225 186243281 57 1988.8 1033.5 2295.2 810.1 5.72 172
SFIX,R 186243282
EFIX,R 186243282 186243549 268 2304.5 808.1 2524
SSACC,R 186243550
ESACC,R 186243550 186243582 33 2303.3 814.5 2281.7 642.6 2.70 161
SFIX,R 186243583
EFIX,R 186243583 186243665 83 2282.1 580.2 2444
SSACC,R 186243666
SBLINK,R 186243721
EBLINK,R 186243721 186243954 234
ESACC,R 186243666 186244006 341 2286.5 565.9 2481.4 1266.3 10.91 359
SFIX,R 186244007
EFIX,R 186244007 186244104 98 2493.8 1114.6 2385
SSACC,R 186244105
ESACC,R 186244105 186244173 69 2495.0 1059.4 1909.3 903.7 8.88 332
SFIX,R 186244174
EFIX,R 186244174 186244783 610 1902.3 903.7 2710
SSACC,R 186244784
ESACC,R 186244784 186244815 32 1895.0 890.7 1757.5 1105.2 4.00 194
SFIX,R 186244816
EFIX,R 186244816 186245239 424 1698.4 1119.2 2955
SSACC,R 186245240
ESACC,R 186245240 186245285 46 1699.6 1120.1 1590.1 488.4 10.36 587
SFIX,R 186245286
EFIX,R 186245286 186245635 350 1584.1 499.2 2798
SSACC,R 186245636
ESACC,R 186245636 186245667 32 1583.1 508.0 1201.6 505.6 6.35 387
SFIX,R 186245668
EFIX,R 186245668 186245891 224 1169.9 511.4 2663
SSACC,R 186245892
ESACC,R 186245892 186245900 9 1158.6 517.6 1133.7 531.9 0.49 59
SFIX,R 186245901
EFIX,R 186245901 186246634 734 1135.8 531.3 2518
SSACC,R 186246635
ESACC,R 186246635 186246645 11 1133.8 521.1 1106.6 521.8 0.46 48
SFIX,R 186246646
EFIX,R 186246646 186247100 455 1090.1 527.6 2619
SSACC,R 186247101
ESACC,R 186247101 186247130 30 1087.3 530.1 859.7 516.2 3.86 216
SFIX,R 186247131
EFIX,R 186247131 186247380 250 850.3 517.5 2720
SSACC,R 186247381
ESACC,R 186247381 186247402 22 848.5 522.5 733.8 528.2 1.94 168
SFIX,R 186247403
EFIX,R 186247403 186247423 21 707.2 533.1 2720
SSACC,R 186247424
ESACC,R 186247424 186247446 23 665.8 531.5 510.0 514.2 2.63 150
SFIX,R 186247447
EFIX,R 186247447 186247691 245 501.6 512.4 2737
SSACC,R 186247692
ESACC,R 186247692 186247703 12 499.2 517.0 460.8 532.4 0.69 75
SFIX,R 186247704
EFIX,R 186247704 186247887 184 456.6 535.0 2746
SSACC,R 186247888
ESACC,R 186247888 186247918 31 457.0 540.5 820.0 527.7 6.09 388
SFIX,R 186247919
EFIX,R 186247919 186248160 242 864.7 532.5 2825
SSACC,R 186248161
ESACC,R 186248161 186248167 7 864.5 530.1 841.5 528.0 0.39 53
SFIX,R 186248168
EFIX,R 186248168 186248369 202 835.9 525.0 2861
SSACC,R 186248370
SBLINK,R 186248395
EBLINK,R 186248395 186248593 199
ESACC,R 186248370 186248635 266 836.1 527.6 780.1 507.3 1.01 1351
SFIX,R 186248636
EFIX,R 186248636 186249773 1138 783.3 497.9 2657
SSACC,R 186249774
SBLINK,R 186249797
EBLINK,R 186249797 186249998 202
ESACC,R 186249774 186250045 272 781.2 502.7 495.3 516.6 4.81 1252
SFIX,R 186250046
EFIX,R 186250046 186250492 447 476.7 496.3 2384
SSACC,R 186250493
ESACC,R 186250493 186250502 10 476.8 501.6 440.6 504.9 0.60 66
SFIX,R 186250503
EFIX,R 186250503 186250724 222 442.1 514.6 2831
SSACC,R 186250725
ESACC,R 186250725 186250743 19 438.7 519.0 506.6 493.4 1.21 122
SFIX,R 186250744
EFIX,R 186250744 186251847 1104 487.4 497.0 2760
SSACC,R 186251848
ESACC,R 186251848 186251869 22 479.5 505.9 517.8 442.2 1.25 65
SFIX,R 186251870
EFIX,R 186251870 186253282 1413 528.9 423.4 2836
SSACC,R 186253283
ESACC,R 186253283 186253347 65 530.9 414.5 33.5 163.0 9.13 242
SFIX,R 186253348
EFIX,R 186253348 186253521 174 -9.9 201.0 2765
SSACC,R 186253522
ESACC,R 186253522 186253557 36 -18.7 200.8 384.6 497.2 8.15 464
SFIX,R 186253558
EFIX,R 186253558 186253961 404 381.8 507.1 2784
