tracker_time_ms,message
186273144,!V TRIAL_VAR Stim_Pos_X_deg 12.0
186273144,!V TRIAL_VAR Stim_Pos_Y_deg -10.0
186273144,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186273144,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186273144,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
186273144,!V TRIAL_VAR Stim_Orientation_deg 0.0
186273144,!V TRIAL_VAR Gap_Duration_ms 100.0
186273144,!V TRIAL_VAR Stim_Duration_ms 200.0
186273144,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186273144,!V TRIAL_VAR Condition_ID C000004
186273144,!V TRIAL_VAR Is_Control False
186273144,!V TRIAL_VAR Stim_Color_Name Gray
186273144,!V TRIAL_VAR Stim_Intensity_Level 90
186273144,!V TRIAL_VAR Stim_Pos_X_deg 12.0
186273144,!V TRIAL_VAR Stim_Pos_Y_deg -10.0
186273150,FIX_ON TRIAL 4
186273761,GAZE_ACQUIRED TRIAL 4
186274272,FIX_OFF TRIAL 4
186274379,STIM_ON TRIAL 4
186274525,TARGET_ENTER TRIAL 4
186274586,STIM_OFF TRIAL 4
186274750,STIM_WINDOW_END TRIAL 4
186274754,REWARD TRIAL 4
186275017,!V TRIAL_VAR Status Success
186275017,!V TRIAL_VAR Subject_ID Monkey_H18
186275017,TRIAL_RESULT Success
186278089,TRIALID 5
186278089,!V TRIAL_VAR Subject_ID Monkey_H18
186278089,!V TRIAL_VAR Planned_Fixation_Duration_ms 340.40212413322143
186278089,!V TRIAL_VAR Fixation_Pos_X_deg -6.0
186278089,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186278089,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186278089,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186278089,!V TRIAL_VAR Stim_Pos_X_deg 9.0
186278089,!V TRIAL_VAR Stim_Pos_Y_deg 8.0
186278089,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186278089,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186278089,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
186278089,!V TRIAL_VAR Stim_Orientation_deg 0.0
186278089,!V TRIAL_VAR Gap_Duration_ms 100.0
186278089,!V TRIAL_VAR Stim_Duration_ms 200.0
186278089,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186278090,!V TRIAL_VAR Condition_ID C000005
186278090,!V TRIAL_VAR Is_Control False
186278090,!V TRIAL_VAR Stim_Color_Name Gray
186278090,!V TRIAL_VAR Stim_Intensity_Level 60
186278090,!V TRIAL_VAR Stim_Pos_X_deg 9.0
186278090,!V TRIAL_VAR Stim_Pos_Y_deg 8.0
186278097,FIX_ON TRIAL 5
186278502,GAZE_ACQUIRED TRIAL 5
186278696,FIX_OFF TRIAL 5
186278803,STIM_ON TRIAL 5
186278929,TARGET_ENTER TRIAL 5
186279011,STIM_OFF TRIAL 5
186279040,STIM_WINDOW_END TRIAL 5
186279043,REWARD TRIAL 5
186279313,!V TRIAL_VAR Status Success
186279313,!V TRIAL_VAR Subject_ID Monkey_H18
186279313,TRIAL_RESULT Success
186282379,TRIALID 6
186282380,!V TRIAL_VAR Subject_ID Monkey_H18
186282380,!V TRIAL_VAR Planned_Fixation_Duration_ms 349.4923043991205
186282380,!V TRIAL_VAR Fixation_Pos_X_deg 3.0
186282380,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186282380,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186282380,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186282380,!V TRIAL_VAR Stim_Pos_X_deg 3.0
186282380,!V TRIAL_VAR Stim_Pos_Y_deg 8.0
186282380,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186282380,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186282380,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
186282380,!V TRIAL_VAR Stim_Orientation_deg 0.0
186282380,!V TRIAL_VAR Gap_Duration_ms 100.0
186282380,!V TRIAL_VAR Stim_Duration_ms 200.0
