tracker_time_ms,message
100931017,DISPLAY_COORDS 0 0 1919 1079
100931027,RECCFG CR 1000 2 1 2 1 R
100931027,ELCLCFG MTABLER
100931027,GAZE_COORDS 0.00 0.00 1919.00 1079.00
100931027,THRESHOLDS R 40 174
100931027,ELCL_WINDOW_SIZES 176 188 0 0
100931027,CAMERA_LENS_FOCAL_LENGTH 38.00 
100931027,PUPIL_DATA_TYPE RAW_AUTOSLIP
100931027,ELCL_PROC ELLIPSE  (5)
100931027,ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
100931028,!MODE RECORD CR 1000 2 1 2 1 R
100931132,FINEVISION_SESSION_START
100931132,FINEVISION_SESSION_ID SaccadeMultiStim_20260806_143106 HOST_FILE F69A7CB6.EDF
100980220,TRIALID 1
100980221,!V TRIAL_VAR Subject_ID Monkey_H18
100980221,!V TRIAL_VAR Planned_Fixation_Duration_ms 713.4133014214424
100980221,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100980221,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100980221,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100980221,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100980221,!V TRIAL_VAR Stim_Pos_X_deg 4.0
100980221,!V TRIAL_VAR Stim_Pos_Y_deg -4.0
100980221,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100980221,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100980221,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100980221,!V TRIAL_VAR Stim_Orientation_deg 0.0
100980221,!V TRIAL_VAR Gap_Duration_ms 100.0
100980221,!V TRIAL_VAR Stim_Duration_ms 200.0
100980221,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100980222,!V TRIAL_VAR Condition_ID C000001
100980222,!V TRIAL_VAR Is_Control False
100980222,!V TRIAL_VAR Stim_Color_Name Gray
100980222,!V TRIAL_VAR Stim_Intensity_Level 110
100980222,!V TRIAL_VAR Stim_Pos_X_deg 4.0
100980222,!V TRIAL_VAR Stim_Pos_Y_deg -4.0
100980228,FIX_ON TRIAL 1
100982243,FIX_OFF TRIAL 1
100982245,!V TRIAL_VAR Status nofix_1
100982245,!V TRIAL_VAR Subject_ID Monkey_H18
100982245,TRIAL_RESULT nofix_1
100985313,TRIALID 2
100985314,!V TRIAL_VAR Subject_ID Monkey_H18
100985314,!V TRIAL_VAR Planned_Fixation_Duration_ms 762.7445967391213
100985314,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100985314,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100985314,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100985314,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100985314,!V TRIAL_VAR Stim_Pos_X_deg 4.0
100985314,!V TRIAL_VAR Stim_Pos_Y_deg -4.0
100985314,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100985314,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100985314,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100985314,!V TRIAL_VAR Stim_Orientation_deg 0.0
100985314,!V TRIAL_VAR Gap_Duration_ms 100.0
100985314,!V TRIAL_VAR Stim_Duration_ms 200.0
100985314,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100985314,!V TRIAL_VAR Condition_ID C000001
100985315,!V TRIAL_VAR Is_Control False
100985315,!V TRIAL_VAR Stim_Color_Name Gray
100985315,!V TRIAL_VAR Stim_Intensity_Level 110
100985315,!V TRIAL_VAR Stim_Pos_X_deg 4.0
100985315,!V TRIAL_VAR Stim_Pos_Y_deg -4.0
100985321,FIX_ON TRIAL 2
100987336,FIX_OFF TRIAL 2
100987338,!V TRIAL_VAR Status nofix_1
100987338,!V TRIAL_VAR Subject_ID Monkey_H18
100987338,TRIAL_RESULT nofix_1
100990443,TRIALID 3
100990443,!V TRIAL_VAR Subject_ID Monkey_H18
100990443,!V TRIAL_VAR Planned_Fixation_Duration_ms 576.7204035219625
100990443,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100990443,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100990443,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100990443,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100990443,!V TRIAL_VAR Stim_Pos_X_deg 4.0
100990443,!V TRIAL_VAR Stim_Pos_Y_deg -4.0
100990443,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100990443,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100990443,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100990443,!V TRIAL_VAR Stim_Orientation_deg 0.0
100990443,!V TRIAL_VAR Gap_Duration_ms 100.0
100990443,!V TRIAL_VAR Stim_Duration_ms 200.0
100990443,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100990444,!V TRIAL_VAR Condition_ID C000001
100990444,!V TRIAL_VAR Is_Control False
100990444,!V TRIAL_VAR Stim_Color_Name Gray
