event_type,fields
ESACC,R 101016100 101016326 227 705.8 260.2 705.5 366.9 1.82 559
SFIX,R 101016327
EFIX,R 101016327 101017775 1449 715.4 278.6 2599
SSACC,R 101017776
ESACC,R 101017776 101017790 15 716.7 282.4 774.0 280.2 0.97 81
SFIX,R 101017791
EFIX,R 101017791 101017965 175 778.2 279.4 2430
SSACC,R 101017966
ESACC,R 101017966 101018010 45 777.5 276.7 430.4 3.7 7.45 271
SFIX,R 101018011
EFIX,R 101018011 101018151 141 417.6 -6.4 2647
SSACC,R 101018152
ESACC,R 101018152 101018157 6 415.5 -11.1 411.2 -25.5 0.25 43
SFIX,R 101018158
EFIX,R 101018158 101019105 948 402.9 -24.6 1672
SSACC,R 101019106
ESACC,R 101019106 101019127 22 401.3 -22.6 498.6 29.8 1.85 131
SFIX,R 101019128
EFIX,R 101019128 101020245 1118 505.2 42.7 1959
SSACC,R 101020246
ESACC,R 101020246 101020289 44 506.1 48.9 705.7 203.8 4.27 129
SFIX,R 101020290
EFIX,R 101020290 101020624 335 743.9 252.9 1949
SSACC,R 101020625
ESACC,R 101020625 101020641 17 747.3 249.5 806.2 208.6 1.22 101
SFIX,R 101020642
EFIX,R 101020642 101021109 468 815.1 194.5 2220
SSACC,R 101021110
ESACC,R 101021110 101021136 27 816.2 191.9 908.1 300.0 2.43 123
SFIX,R 101021137
EFIX,R 101021137 101021396 260 944.7 345.6 2320
SSACC,R 101021397
ESACC,R 101021397 101021418 22 945.2 342.0 879.0 305.8 1.29 74
SFIX,R 101021419
EFIX,R 101021419 101022626 1208 853.9 285.4 2526
SSACC,R 101022627
ESACC,R 101022627 101022663 37 853.0 285.2 564.1 207.4 5.07 192
SFIX,R 101022664
EFIX,R 101022664 101022766 103 520.1 175.3 2846
SSACC,R 101022767
ESACC,R 101022767 101022795 29 514.4 173.1 465.5 0.3 3.04 155
SFIX,R 101022796
EFIX,R 101022796 101023405 610 413.0 -28.3 1994
SSACC,R 101023406
ESACC,R 101023406 101023436 31 400.9 -24.1 575.8 174.4 4.45 260
SFIX,R 101023437
EFIX,R 101023437 101023824 388 572.4 174.0 1846
SSACC,R 101023825
ESACC,R 101023825 101023844 20 571.5 169.0 531.4 246.9 1.49 125
SFIX,R 101023845
EFIX,R 101023845 101024333 489 526.9 242.9 2414
SSACC,R 101024334
ESACC,R 101024334 101024357 24 530.2 237.4 426.1 243.5 1.74 114
SFIX,R 101024358
EFIX,R 101024358 101024619 262 391.1 248.4 2677
SSACC,R 101024620
ESACC,R 101024620 101024644 25 393.3 247.3 540.5 266.9 2.48 164
SFIX,R 101024645
EFIX,R 101024645 101025622 978 552.9 266.2 2770
SSACC,R 101025623
ESACC,R 101025623 101025664 42 556.6 265.2 252.6 542.1 6.85 253
SFIX,R 101025665
EFIX,R 101025665 101025892 228 207.0 572.3 2902
SSACC,R 101025893
ESACC,R 101025893 101025918 26 201.6 573.7 210.6 467.6 1.77 87
SFIX,R 101025919
EFIX,R 101025919 101026178 260 220.5 414.4 2954
SSACC,R 101026179
ESACC,R 101026179 101026202 24 219.4 412.9 235.3 263.8 2.51 196
SFIX,R 101026203
EFIX,R 101026203 101026613 411 232.5 237.5 2966
SSACC,R 101026614
ESACC,R 101026614 101026661 48 231.2 233.4 704.0 263.3 7.87 285
SFIX,R 101026662
EFIX,R 101026662 101027300 639 713.3 269.9 2747
SSACC,R 101027301
ESACC,R 101027301 101027318 18 715.4 271.3 778.8 267.7 1.08 71
SFIX,R 101027319
EFIX,R 101027319 101027735 417 785.2 268.2 2681
SSACC,R 101027736
ESACC,R 101027736 101027762 27 785.5 267.9 592.7 273.3 3.26 204
SFIX,R 101027763
EFIX,R 101027763 101028019 257 575.5 277.8 2886
SSACC,R 101028020
ESACC,R 101028020 101028065 46 572.0 280.4 439.4 -15.1 5.48 205
SFIX,R 101028066
EFIX,R 101028066 101028200 135 435.7 -11.7 2708
SSACC,R 101028201
ESACC,R 101028201 101028207 7 433.3 -12.4 415.4 -22.1 0.34 47
SFIX,R 101028208
EFIX,R 101028208 101029105 898 402.1 -23.3 1686
SSACC,R 101029106
ESACC,R 101029106 101029136 31 399.3 -23.8 563.0 167.6 4.24 246
SFIX,R 101029137
EFIX,R 101029137 101029769 633 569.2 167.6 2006
SSACC,R 101029770
ESACC,R 101029770 101029797 28 570.6 162.3 713.1 349.2 3.99 228
SFIX,R 101029798
EFIX,R 101029798 101030127 330 733.1 379.5 2242
SSACC,R 101030128
ESACC,R 101030128 101030134 7 737.8 373.8 745.1 357.5 0.30 42
SFIX,R 101030135
EFIX,R 101030135 101030368 234 756.4 340.5 2434
SSACC,R 101030369
ESACC,R 101030369 101030389 21 758.2 338.3 843.7 361.9 1.51 85
SFIX,R 101030390
EFIX,R 101030390 101030719 330 855.0 382.1 2476
SSACC,R 101030720
ESACC,R 101030720 101030747 28 856.5 380.2 688.5 272.0 3.40 192
SFIX,R 101030748
EFIX,R 101030748 101031949 1202 655.2 252.8 2715
SSACC,R 101031950
ESACC,R 101031950 101031973 24 644.1 251.1 762.9 310.5 2.25 165
SFIX,R 101031974
EFIX,R 101031974 101032804 831 765.2 310.6 2595
SSACC,R 101032805
ESACC,R 101032805 101032810 6 765.3 306.4 757.5 296.8 0.21 38
SFIX,R 101032811
EFIX,R 101032811 101033438 628 754.9 294.4 2594
SSACC,R 101033439
ESACC,R 101033439 101033449 11 756.7 293.2 772.0 269.5 0.48 50
SFIX,R 101033450
EFIX,R 101033450 101033609 160 774.2 266.4 2496
SSACC,R 101033610
ESACC,R 101033610 101033630 21 774.1 267.0 673.0 287.7 1.75 133
SFIX,R 101033631
EFIX,R 101033631 101033914 284 653.6 288.8 2682
SSACC,R 101033915
ESACC,R 101033915 101033923 9 652.5 291.3 650.7 315.5 0.41 48
SFIX,R 101033924
EFIX,R 101033924 101034455 532 649.4 318.0 2813
SSACC,R 101034456
SBLINK,R 101034492
EBLINK,R 101034492 101034730 239
ESACC,R 101034456 101034768 313 651.2 316.4 513.6 356.9 2.41 523
SFIX,R 101034769
EFIX,R 101034769 101035286 518 520.9 241.1 2433
SSACC,R 101035287
ESACC,R 101035287 101035318 32 524.2 227.7 772.0 280.2 4.28 256
SFIX,R 101035319
EFIX,R 101035319 101036456 1138 760.9 281.3 2795
SSACC,R 101036457
ESACC,R 101036457 101036483 27 759.6 280.1 601.9 261.0 2.69 158
SFIX,R 101036484
EFIX,R 101036484 101036945 462 590.0 263.0 2980
SSACC,R 101036946
ESACC,R 101036946 101036958 13 588.5 264.7 553.0 246.3 0.67 64
SFIX,R 101036959
EFIX,R 101036959 101037875 917 547.1 239.8 3043
SSACC,R 101037876
ESACC,R 101037876 101037907 32 544.4 239.5 430.1 2.5 4.45 238
SFIX,R 101037908
EFIX,R 101037908 101038991 1084 404.7 -24.2 1841
SSACC,R 101038992
ESACC,R 101038992 101039019 28 407.0 -23.1 459.6 136.1 2.83 128
SFIX,R 101039020
EFIX,R 101039020 101039494 475 483.1 171.5 2056
SSACC,R 101039495
ESACC,R 101039495 101039519 25 485.8 170.3 485.6 30.7 2.37 141
SFIX,R 101039520
EFIX,R 101039520 101040261 742 486.2 -17.4 2048
SSACC,R 101040262
SBLINK,R 101040280
EBLINK,R 101040280 101040435 156
ESACC,R 101040262 101040475 214 483.8 -10.8 92.3 139.0 6.86 464
SFIX,R 101040476
EFIX,R 101040476 101041361 886 102.1 118.2 2213
SSACC,R 101041362
ESACC,R 101041362 101041381 20 100.9 114.2 54.9 101.9 0.76 43
SFIX,R 101041382
EFIX,R 101041382 101042616 1235 -35.6 43.4 2145
SSACC,R 101042617
ESACC,R 101042617 101042656 40 -35.1 42.1 408.0 -16.3 7.20 339
SFIX,R 101042657
EFIX,R 101042657 101043410 754 405.1 -23.4 1883
SSACC,R 101043411
ESACC,R 101043411 101043455 45 404.7 -28.3 671.9 202.6 5.95 199
SFIX,R 101043456
EFIX,R 101043456 101044072 617 715.1 259.2 2145
SSACC,R 101044073
ESACC,R 101044073 101044095 23 715.3 256.6 577.5 286.6 2.38 174
SFIX,R 101044096
EFIX,R 101044096 101044644 549 564.2 272.8 2791
SSACC,R 101044645
ESACC,R 101044645 101044687 43 566.5 263.3 230.1 474.5 6.60 239
SFIX,R 101044688
EFIX,R 101044688 101044935 248 173.1 538.0 2819
SSACC,R 101044936
ESACC,R 101044936 101044959 24 167.3 544.2 168.9 442.5 1.69 115
SFIX,R 101044960
EFIX,R 101044960 101045234 275 164.5 419.1 2830
SSACC,R 101045235
ESACC,R 101045235 101045292 58 163.6 418.6 373.4 345.1 3.64 98
SFIX,R 101045293
EFIX,R 101045293 101045872 580 371.4 348.9 2938
SSACC,R 101045873
SBLINK,R 101045892
EBLINK,R 101045892 101046065 174
ESACC,R 101045873 101046105 233 373.6 347.6 576.9 350.8 3.39 365
SFIX,R 101046106
EFIX,R 101046106 101046459 354 584.3 266.7 2846
SSACC,R 101046460
ESACC,R 101046460 101046490 31 583.5 266.8 805.1 290.8 3.77 225
SFIX,R 101046491
EFIX,R 101046491 101047646 1156 796.2 299.7 2737
SSACC,R 101047647
ESACC,R 101047647 101047666 20 795.7 306.3 696.9 270.8 1.78 139
SFIX,R 101047667
EFIX,R 101047667 101048157 491 683.7 266.0 2750
SSACC,R 101048158
ESACC,R 101048158 101048210 53 682.5 264.8 401.0 -30.1 6.87 218
SFIX,R 101048211
EFIX,R 101048211 101048320 110 392.9 -32.2 2786
SSACC,R 101048321
ESACC,R 101048321 101048326 6 394.9 -31.6 408.3 -30.6 0.22 39
SFIX,R 101048327
EFIX,R 101048327 101049271 945 403.2 -24.6 1674
SSACC,R 101049272
ESACC,R 101049272 101049300 29 402.4 -21.1 502.5 179.2 3.78 220
SFIX,R 101049301
EFIX,R 101049301 101050095 795 516.8 193.7 2141
SSACC,R 101050096
SBLINK,R 101050127
EBLINK,R 101050127 101050315 189
ESACC,R 101050096 101050345 250 522.1 190.9 462.8 -17.3 3.67 424
SFIX,R 101050346
EFIX,R 101050346 101051231 886 454.7 -11.4 2018
SSACC,R 101051232
ESACC,R 101051232 101051280 49 450.8 -14.2 747.8 155.2 5.76 169
SFIX,R 101051281
EFIX,R 101051281 101051629 349 771.0 193.5 2002
SSACC,R 101051630
ESACC,R 101051630 101051690 61 770.6 192.0 942.7 -86.2 5.58 125
SFIX,R 101051691
EFIX,R 101051691 101051999 309 942.5 -85.1 2038
SSACC,R 101052000
ESACC,R 101052000 101052040 41 943.3 -86.8 744.6 218.5 6.21 249
SFIX,R 101052041
EFIX,R 101052041 101052478 438 725.1 242.0 2566
SSACC,R 101052479
ESACC,R 101052479 101052502 24 724.3 244.9 571.7 280.8 2.65 173
SFIX,R 101052503
EFIX,R 101052503 101052879 377 559.7 279.3 2767
SSACC,R 101052880
ESACC,R 101052880 101052923 44 564.0 272.2 210.6 538.8 7.35 278
SFIX,R 101052924
EFIX,R 101052924 101053153 230 194.1 542.9 2899
SSACC,R 101053154
ESACC,R 101053154 101053178 25 191.0 543.7 232.9 381.1 2.79 177
SFIX,R 101053179
EFIX,R 101053179 101053689 511 256.0 327.2 2936
SSACC,R 101053690
ESACC,R 101053690 101053715 26 255.8 324.5 273.2 483.5 2.68 159
SFIX,R 101053716
EFIX,R 101053716 101053972 257 276.0 505.4 2826
SSACC,R 101053973
ESACC,R 101053973 101053996 24 277.9 509.6 376.8 471.8 1.74 104
SFIX,R 101053997
EFIX,R 101053997 101054326 330 404.2 467.5 2766
SSACC,R 101054327
ESACC,R 101054327 101054350 24 405.3 460.7 438.4 376.8 1.52 81
SFIX,R 101054351
EFIX,R 101054351 101054600 250 470.7 343.8 2731
SSACC,R 101054601
ESACC,R 101054601 101054620 20 469.6 344.0 405.2 384.8 1.27 85
SFIX,R 101054621
EFIX,R 101054621 101054901 281 356.4 413.9 2824
SSACC,R 101054902
ESACC,R 101054902 101054923 22 353.4 414.6 362.1 348.4 1.12 60
SFIX,R 101054924
EFIX,R 101054924 101055428 505 457.1 344.2 2635
SSACC,R 101055429
ESACC,R 101055429 101055440 12 447.6 357.7 478.3 324.6 0.76 76
SFIX,R 101055441
EFIX,R 101055441 101055856 416 485.6 323.3 2643
SSACC,R 101055857
ESACC,R 101055857 101055868 12 483.1 314.1 458.4 296.2 0.51 50
SFIX,R 101055869
EFIX,R 101055869 101055927 59 442.2 292.9 2706
SSACC,R 101055928
ESACC,R 101055928 101055941 14 431.8 293.6 404.9 297.8 0.45 36
SFIX,R 101055942
EFIX,R 101055942 101056523 582 330.7 297.5 2569
SSACC,R 101056524
SBLINK,R 101056545
EBLINK,R 101056545 101056713 169
ESACC,R 101056524 101056755 232 338.0 299.3 286.8 -116.7 7.03 501
SFIX,R 101056756
EFIX,R 101056756 101058226 1471 269.9 -128.3 1756
SSACC,R 101058227
ESACC,R 101058227 101058254 28 266.1 -122.0 165.8 -47.6 2.04 95
SFIX,R 101058255
EFIX,R 101058255 101059741 1487 -33.4 62.2 2062
SSACC,R 101059742
ESACC,R 101059742 101059769 28 -35.8 63.9 -174.2 -49.0 2.82 175
SFIX,R 101059770
EFIX,R 101059770 101060349 580 -181.3 -52.2 2074
SSACC,R 101060350
ESACC,R 101060350 101060370 21 -178.0 -52.8 -179.9 42.8 1.55 131
SFIX,R 101060371
EFIX,R 101060371 101061129 759 -179.2 43.7 2404
SSACC,R 101061130
ESACC,R 101061130 101061157 28 -181.9 46.4 -173.7 241.1 3.16 146
SFIX,R 101061158
EFIX,R 101061158 101061415 258 -173.6 322.6 2465
SSACC,R 101061416
ESACC,R 101061416 101061440 25 -174.3 326.8 -150.9 149.6 2.90 199
SFIX,R 101061441
EFIX,R 101061441 101061610 170 -151.6 105.5 2483
SSACC,R 101061611
ESACC,R 101061611 101061626 16 -152.2 101.6 -180.7 45.0 1.02 92
SFIX,R 101061627
EFIX,R 101061627 101061899 273 -179.7 42.1 2474
SSACC,R 101061900
SBLINK,R 101061940
EBLINK,R 101061940 101062117 178
ESACC,R 101061900 101062149 250 -180.1 42.7 393.4 287.2 9.98 703
SFIX,R 101062150
EFIX,R 101062150 101062643 494 385.4 256.7 2198
SSACC,R 101062644
ESACC,R 101062644 101062662 19 388.1 247.2 303.3 275.1 1.48 123
SFIX,R 101062663
EFIX,R 101062663 101063098 436 290.1 280.3 2648
SSACC,R 101063099
ESACC,R 101063099 101063148 50 289.2 277.5 290.9 -43.9 5.39 150
SFIX,R 101063149
EFIX,R 101063149 101063600 452 253.9 -115.5 1933
SSACC,R 101063601
ESACC,R 101063601 101063629 29 247.4 -119.0 437.0 -27.3 3.47 193
SFIX,R 101063630
EFIX,R 101063630 101065150 1521 487.4 16.2 1685
SSACC,R 101065151
SBLINK,R 101065170
EBLINK,R 101065170 101066484 1315
ESACC,R 101065151 101066484 1334 581.6 28.1 585.2 64.3 0.62 130
INPUT,101066485 127
END,101066485 SAMPLES EVENTS RES 261.28 260.41
