event_type,fields
ESACC,R 100950051 100950084 34 782.7 263.2 494.0 274.2 4.87 235
SFIX,R 100950085
EFIX,R 100950085 100950323 239 480.1 277.0 2994
SSACC,R 100950324
ESACC,R 100950324 100950342 19 479.0 278.6 400.6 274.5 1.31 114
SFIX,R 100950343
EFIX,R 100950343 100950601 259 390.9 276.7 2937
SSACC,R 100950602
ESACC,R 100950602 100950642 41 390.3 277.0 816.5 329.3 7.21 310
SFIX,R 100950643
EFIX,R 100950643 100950846 204 819.4 339.8 2625
SSACC,R 100950847
ESACC,R 100950847 100950855 9 813.2 336.5 798.4 311.4 0.50 60
SFIX,R 100950856
EFIX,R 100950856 100951322 467 796.7 309.2 2744
SSACC,R 100951323
ESACC,R 100951323 100951329 7 798.5 305.4 806.9 290.1 0.30 43
SFIX,R 100951330
EFIX,R 100951330 100951826 497 804.8 281.5 2911
SSACC,R 100951827
ESACC,R 100951827 100951835 9 806.4 288.2 816.4 303.0 0.31 40
SFIX,R 100951836
EFIX,R 100951836 100952395 560 814.0 304.6 2885
SSACC,R 100952396
ESACC,R 100952396 100952423 28 815.4 308.5 623.5 258.3 3.36 211
SFIX,R 100952424
EFIX,R 100952424 100953400 977 606.5 253.4 2910
SSACC,R 100953401
ESACC,R 100953401 100953428 28 613.3 242.1 794.4 304.9 3.25 216
SFIX,R 100953429
EFIX,R 100953429 100954267 839 799.8 311.1 2677
SSACC,R 100954268
ESACC,R 100954268 100954280 13 807.5 314.0 802.2 362.3 0.83 80
SFIX,R 100954281
EFIX,R 100954281 100954875 595 799.2 361.7 2560
SSACC,R 100954876
SBLINK,R 100954894
EBLINK,R 100954894 100955003 110
ESACC,R 100954876 100955042 167 797.0 364.4 770.3 285.5 1.42 301
SFIX,R 100955043
EFIX,R 100955043 100955157 115 779.5 221.6 2430
SSACC,R 100955158
ESACC,R 100955158 100955175 18 776.2 230.2 800.1 301.5 1.29 90
SFIX,R 100955176
EFIX,R 100955176 100956162 987 796.7 299.1 2668
SSACC,R 100956163
ESACC,R 100956163 100956194 32 795.8 301.3 700.1 12.4 5.20 283
SFIX,R 100956195
EFIX,R 100956195 100956360 166 676.5 -9.6 2602
SSACC,R 100956361
ESACC,R 100956361 100956371 11 670.4 -9.3 637.6 -15.9 0.56 61
SFIX,R 100956372
EFIX,R 100956372 100956614 243 628.9 -16.2 2200
SSACC,R 100956615
ESACC,R 100956615 100956632 18 629.3 -16.7 702.5 -12.9 1.24 104
SFIX,R 100956633
EFIX,R 100956633 100956804 172 710.1 -7.2 1882
SSACC,R 100956805
ESACC,R 100956805 100956825 21 710.2 -8.9 620.3 -16.7 1.52 105
SFIX,R 100956826
EFIX,R 100956826 100957072 247 606.4 -16.8 1997
SSACC,R 100957073
ESACC,R 100957073 100957106 34 606.6 -14.9 652.6 262.3 4.79 225
SFIX,R 100957107
EFIX,R 100957107 100957553 447 654.4 275.6 2166
SSACC,R 100957554
ESACC,R 100957554 100957566 13 659.7 271.8 700.5 265.8 0.70 64
SFIX,R 100957567
EFIX,R 100957567 100957983 417 711.9 260.4 2602
SSACC,R 100957984
ESACC,R 100957984 100958006 23 712.1 256.4 799.9 344.8 2.12 166
SFIX,R 100958007
EFIX,R 100958007 100958208 202 802.8 350.0 2676
SSACC,R 100958209
ESACC,R 100958209 100958217 9 803.8 349.3 807.1 320.3 0.50 61
SFIX,R 100958218
EFIX,R 100958218 100959289 1072 803.0 312.4 2764
SSACC,R 100959290
SBLINK,R 100959321
EBLINK,R 100959321 100959417 97
ESACC,R 100959290 100959455 166 802.4 308.2 393.8 250.7 6.93 450
SFIX,R 100959456
EFIX,R 100959456 100959654 199 392.3 247.4 2766
SSACC,R 100959655
ESACC,R 100959655 100959667 13 391.1 248.9 377.3 289.4 0.72 74
SFIX,R 100959668
EFIX,R 100959668 100960691 1024 381.1 280.5 2920
SSACC,R 100960692
ESACC,R 100960692 100960739 48 380.4 280.1 782.7 291.9 6.75 258
SFIX,R 100960740
